StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2021-12-11T23:30:00Z,APXMIDP,2021-12-11,48,147.53,612.550
2021-12-11T23:30:00Z,N2EXMIDP,2021-12-11,48,0.00,0.000
2021-12-11T23:00:00Z,APXMIDP,2021-12-11,47,112.31,424.850
2021-12-11T23:00:00Z,N2EXMIDP,2021-12-11,47,0.00,0.000
2021-12-11T22:30:00Z,APXMIDP,2021-12-11,46,207.49,1063.200
2021-12-11T22:30:00Z,N2EXMIDP,2021-12-11,46,0.00,0.000
2021-12-11T22:00:00Z,APXMIDP,2021-12-11,45,205.88,850.400
2021-12-11T22:00:00Z,N2EXMIDP,2021-12-11,45,0.00,0.000
2021-12-11T21:30:00Z,APXMIDP,2021-12-11,44,204.10,791.550
2021-12-11T21:30:00Z,N2EXMIDP,2021-12-11,44,0.00,0.000
2021-12-11T21:00:00Z,APXMIDP,2021-12-11,43,214.81,952.250
2021-12-11T21:00:00Z,N2EXMIDP,2021-12-11,43,0.00,0.000
2021-12-11T20:30:00Z,APXMIDP,2021-12-11,42,208.60,939.200
2021-12-11T20:30:00Z,N2EXMIDP,2021-12-11,42,0.00,0.000
2021-12-11T20:00:00Z,APXMIDP,2021-12-11,41,223.98,1105.000
2021-12-11T20:00:00Z,N2EXMIDP,2021-12-11,41,0.00,0.000
2021-12-11T19:30:00Z,APXMIDP,2021-12-11,40,228.84,936.200
2021-12-11T19:30:00Z,N2EXMIDP,2021-12-11,40,0.00,0.000
2021-12-11T19:00:00Z,APXMIDP,2021-12-11,39,240.14,1224.350
2021-12-11T19:00:00Z,N2EXMIDP,2021-12-11,39,0.00,0.000
2021-12-11T18:30:00Z,APXMIDP,2021-12-11,38,222.76,1219.200
2021-12-11T18:30:00Z,N2EXMIDP,2021-12-11,38,0.00,0.000
2021-12-11T18:00:00Z,APXMIDP,2021-12-11,37,256.32,1239.200
2021-12-11T18:00:00Z,N2EXMIDP,2021-12-11,37,0.00,0.000
2021-12-11T17:30:00Z,APXMIDP,2021-12-11,36,233.90,1054.800
2021-12-11T17:30:00Z,N2EXMIDP,2021-12-11,36,0.00,0.000
2021-12-11T17:00:00Z,APXMIDP,2021-12-11,35,243.10,1039.700
2021-12-11T17:00:00Z,N2EXMIDP,2021-12-11,35,0.00,0.000
2021-12-11T16:30:00Z,APXMIDP,2021-12-11,34,262.91,1202.350
2021-12-11T16:30:00Z,N2EXMIDP,2021-12-11,34,0.00,0.000
2021-12-11T16:00:00Z,APXMIDP,2021-12-11,33,246.82,1000.600
2021-12-11T16:00:00Z,N2EXMIDP,2021-12-11,33,0.00,0.000
2021-12-11T15:30:00Z,APXMIDP,2021-12-11,32,259.62,865.750
2021-12-11T15:30:00Z,N2EXMIDP,2021-12-11,32,0.00,0.000
