PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2018-06-03T01:58:09Z,Wind generation,Wind Onshore,272.698,2018-06-02T23:30:00Z,2018-06-03,2
2018-06-03T01:58:09Z,Wind generation,Wind Offshore,297.044,2018-06-02T23:30:00Z,2018-06-03,2
2018-06-03T01:58:09Z,Solar generation,Solar,0.000,2018-06-02T23:30:00Z,2018-06-03,2
2018-06-03T01:28:09Z,Wind generation,Wind Onshore,263.618,2018-06-02T23:00:00Z,2018-06-03,1
2018-06-03T01:28:09Z,Wind generation,Wind Offshore,281.736,2018-06-02T23:00:00Z,2018-06-03,1
2018-06-03T01:28:09Z,Solar generation,Solar,0.000,2018-06-02T23:00:00Z,2018-06-03,1
2018-06-03T00:58:09Z,Wind generation,Wind Onshore,273.724,2018-06-02T22:30:00Z,2018-06-02,48
2018-06-03T00:58:09Z,Wind generation,Wind Offshore,294.664,2018-06-02T22:30:00Z,2018-06-02,48
2018-06-03T00:58:09Z,Solar generation,Solar,0.000,2018-06-02T22:30:00Z,2018-06-02,48
2018-06-03T00:28:10Z,Wind generation,Wind Onshore,279.938,2018-06-02T22:00:00Z,2018-06-02,47
2018-06-03T00:28:10Z,Wind generation,Wind Offshore,289.106,2018-06-02T22:00:00Z,2018-06-02,47
2018-06-03T00:28:10Z,Solar generation,Solar,0.000,2018-06-02T22:00:00Z,2018-06-02,47
2018-06-02T23:58:10Z,Wind generation,Wind Onshore,345.135,2018-06-02T21:30:00Z,2018-06-02,46
2018-06-02T23:58:10Z,Wind generation,Wind Offshore,331.545,2018-06-02T21:30:00Z,2018-06-02,46
2018-06-02T23:58:10Z,Solar generation,Solar,0.000,2018-06-02T21:30:00Z,2018-06-02,46
2018-06-02T23:28:10Z,Wind generation,Wind Onshore,376.503,2018-06-02T21:00:00Z,2018-06-02,45
2018-06-02T23:28:10Z,Wind generation,Wind Offshore,352.250,2018-06-02T21:00:00Z,2018-06-02,45
2018-06-02T23:28:10Z,Solar generation,Solar,4.000,2018-06-02T21:00:00Z,2018-06-02,45
2018-06-02T22:58:09Z,Wind generation,Wind Onshore,393.893,2018-06-02T20:30:00Z,2018-06-02,44
2018-06-02T22:58:09Z,Wind generation,Wind Offshore,389.506,2018-06-02T20:30:00Z,2018-06-02,44
2018-06-02T22:58:09Z,Solar generation,Solar,2.000,2018-06-02T20:30:00Z,2018-06-02,44
2018-06-02T22:28:10Z,Wind generation,Wind Onshore,373.060,2018-06-02T20:00:00Z,2018-06-02,43
2018-06-02T22:28:10Z,Wind generation,Wind Offshore,424.207,2018-06-02T20:00:00Z,2018-06-02,43
2018-06-02T22:28:10Z,Solar generation,Solar,10.000,2018-06-02T20:00:00Z,2018-06-02,43
2018-06-02T21:58:09Z,Wind generation,Wind Onshore,387.271,2018-06-02T19:30:00Z,2018-06-02,42
2018-06-02T21:58:09Z,Wind generation,Wind Offshore,386.932,2018-06-02T19:30:00Z,2018-06-02,42
2018-06-02T21:58:09Z,Solar generation,Solar,109.000,2018-06-02T19:30:00Z,2018-06-02,42
2018-06-02T21:28:10Z,Wind generation,Wind Onshore,435.982,2018-06-02T19:00:00Z,2018-06-02,41
2018-06-02T21:28:10Z,Wind generation,Wind Offshore,425.080,2018-06-02T19:00:00Z,2018-06-02,41
2018-06-02T21:28:10Z,Solar generation,Solar,380.000,2018-06-02T19:00:00Z,2018-06-02,41
2018-06-02T20:58:09Z,Wind generation,Wind Onshore,515.422,2018-06-02T18:30:00Z,2018-06-02,40
2018-06-02T20:58:09Z,Wind generation,Wind Offshore,499.890,2018-06-02T18:30:00Z,2018-06-02,40
2018-06-02T20:58:09Z,Solar generation,Solar,771.000,2018-06-02T18:30:00Z,2018-06-02,40
2018-06-02T20:28:10Z,Wind generation,Wind Onshore,549.925,2018-06-02T18:00:00Z,2018-06-02,39
2018-06-02T20:28:10Z,Wind generation,Wind Offshore,512.007,2018-06-02T18:00:00Z,2018-06-02,39
2018-06-02T20:28:10Z,Solar generation,Solar,1280.000,2018-06-02T18:00:00Z,2018-06-02,39
2018-06-02T19:58:10Z,Wind generation,Wind Onshore,596.136,2018-06-02T17:30:00Z,2018-06-02,38
2018-06-02T19:58:10Z,Wind generation,Wind Offshore,572.452,2018-06-02T17:30:00Z,2018-06-02,38
2018-06-02T19:58:10Z,Solar generation,Solar,1790.000,2018-06-02T17:30:00Z,2018-06-02,38
2018-06-02T19:28:10Z,Wind generation,Wind Onshore,598.811,2018-06-02T17:00:00Z,2018-06-02,37
2018-06-02T19:28:10Z,Wind generation,Wind Offshore,603.034,2018-06-02T17:00:00Z,2018-06-02,37
2018-06-02T19:28:10Z,Solar generation,Solar,2370.000,2018-06-02T17:00:00Z,2018-06-02,37
2018-06-02T18:58:09Z,Wind generation,Wind Onshore,625.536,2018-06-02T16:30:00Z,2018-06-02,36
2018-06-02T18:58:09Z,Wind generation,Wind Offshore,529.086,2018-06-02T16:30:00Z,2018-06-02,36
2018-06-02T18:58:09Z,Solar generation,Solar,3010.000,2018-06-02T16:30:00Z,2018-06-02,36
2018-06-02T18:28:10Z,Wind generation,Wind Onshore,667.400,2018-06-02T16:00:00Z,2018-06-02,35
2018-06-02T18:28:10Z,Wind generation,Wind Offshore,526.322,2018-06-02T16:00:00Z,2018-06-02,35
2018-06-02T18:28:10Z,Solar generation,Solar,3570.000,2018-06-02T16:00:00Z,2018-06-02,35
2018-06-02T17:58:09Z,Wind generation,Wind Onshore,671.289,2018-06-02T15:30:00Z,2018-06-02,34
2018-06-02T17:58:09Z,Wind generation,Wind Offshore,492.216,2018-06-02T15:30:00Z,2018-06-02,34
2018-06-02T17:58:09Z,Solar generation,Solar,4060.000,2018-06-02T15:30:00Z,2018-06-02,34
2018-06-02T17:28:10Z,Wind generation,Wind Onshore,688.299,2018-06-02T15:00:00Z,2018-06-02,33
2018-06-02T17:28:10Z,Wind generation,Wind Offshore,508.864,2018-06-02T15:00:00Z,2018-06-02,33
2018-06-02T17:28:10Z,Solar generation,Solar,4510.000,2018-06-02T15:00:00Z,2018-06-02,33
2018-06-02T16:58:08Z,Wind generation,Wind Onshore,691.597,2018-06-02T14:30:00Z,2018-06-02,32
2018-06-02T16:58:08Z,Wind generation,Wind Offshore,495.202,2018-06-02T14:30:00Z,2018-06-02,32
2018-06-02T16:58:08Z,Solar generation,Solar,4910.000,2018-06-02T14:30:00Z,2018-06-02,32
