PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2018-06-17T01:58:08Z,Wind generation,Wind Onshore,2254.155,2018-06-16T23:30:00Z,2018-06-17,2
2018-06-17T01:58:08Z,Wind generation,Wind Offshore,2154.206,2018-06-16T23:30:00Z,2018-06-17,2
2018-06-17T01:58:08Z,Solar generation,Solar,0.000,2018-06-16T23:30:00Z,2018-06-17,2
2018-06-17T01:28:09Z,Wind generation,Wind Onshore,2364.372,2018-06-16T23:00:00Z,2018-06-17,1
2018-06-17T01:28:09Z,Wind generation,Wind Offshore,1863.576,2018-06-16T23:00:00Z,2018-06-17,1
2018-06-17T01:28:09Z,Solar generation,Solar,0.000,2018-06-16T23:00:00Z,2018-06-17,1
2018-06-17T00:58:09Z,Wind generation,Wind Onshore,2306.332,2018-06-16T22:30:00Z,2018-06-16,48
2018-06-17T00:58:09Z,Wind generation,Wind Offshore,1765.338,2018-06-16T22:30:00Z,2018-06-16,48
2018-06-17T00:58:09Z,Solar generation,Solar,0.000,2018-06-16T22:30:00Z,2018-06-16,48
2018-06-17T00:28:10Z,Wind generation,Wind Onshore,2236.031,2018-06-16T22:00:00Z,2018-06-16,47
2018-06-17T00:28:10Z,Wind generation,Wind Offshore,1827.996,2018-06-16T22:00:00Z,2018-06-16,47
2018-06-17T00:28:10Z,Solar generation,Solar,0.000,2018-06-16T22:00:00Z,2018-06-16,47
2018-06-16T23:58:10Z,Wind generation,Wind Onshore,2216.850,2018-06-16T21:30:00Z,2018-06-16,46
2018-06-16T23:58:10Z,Wind generation,Wind Offshore,1806.964,2018-06-16T21:30:00Z,2018-06-16,46
2018-06-16T23:58:10Z,Solar generation,Solar,0.000,2018-06-16T21:30:00Z,2018-06-16,46
2018-06-16T23:28:10Z,Wind generation,Wind Onshore,2379.205,2018-06-16T21:00:00Z,2018-06-16,45
2018-06-16T23:28:10Z,Wind generation,Wind Offshore,2195.334,2018-06-16T21:00:00Z,2018-06-16,45
2018-06-16T23:28:10Z,Solar generation,Solar,3.000,2018-06-16T21:00:00Z,2018-06-16,45
2018-06-16T22:58:10Z,Wind generation,Wind Onshore,2587.355,2018-06-16T20:30:00Z,2018-06-16,44
2018-06-16T22:58:10Z,Wind generation,Wind Offshore,2317.208,2018-06-16T20:30:00Z,2018-06-16,44
2018-06-16T22:58:10Z,Solar generation,Solar,8.000,2018-06-16T20:30:00Z,2018-06-16,44
2018-06-16T22:28:10Z,Wind generation,Wind Onshore,2610.548,2018-06-16T20:00:00Z,2018-06-16,43
2018-06-16T22:28:10Z,Wind generation,Wind Offshore,2500.362,2018-06-16T20:00:00Z,2018-06-16,43
2018-06-16T22:28:10Z,Solar generation,Solar,400.000,2018-06-16T20:00:00Z,2018-06-16,43
2018-06-16T21:58:09Z,Wind generation,Wind Onshore,2774.708,2018-06-16T19:30:00Z,2018-06-16,42
2018-06-16T21:58:09Z,Wind generation,Wind Offshore,2564.620,2018-06-16T19:30:00Z,2018-06-16,42
2018-06-16T21:58:09Z,Solar generation,Solar,186.000,2018-06-16T19:30:00Z,2018-06-16,42
2018-06-16T21:28:10Z,Wind generation,Wind Onshore,2853.405,2018-06-16T19:00:00Z,2018-06-16,41
2018-06-16T21:28:10Z,Wind generation,Wind Offshore,2472.413,2018-06-16T19:00:00Z,2018-06-16,41
2018-06-16T21:28:10Z,Solar generation,Solar,452.000,2018-06-16T19:00:00Z,2018-06-16,41
2018-06-16T20:58:09Z,Wind generation,Wind Onshore,2914.492,2018-06-16T18:30:00Z,2018-06-16,40
2018-06-16T20:58:09Z,Wind generation,Wind Offshore,2817.829,2018-06-16T18:30:00Z,2018-06-16,40
2018-06-16T20:58:09Z,Solar generation,Solar,784.000,2018-06-16T18:30:00Z,2018-06-16,40
2018-06-16T20:28:09Z,Wind generation,Wind Onshore,2960.248,2018-06-16T18:00:00Z,2018-06-16,39
2018-06-16T20:28:09Z,Wind generation,Wind Offshore,2765.987,2018-06-16T18:00:00Z,2018-06-16,39
2018-06-16T20:28:09Z,Solar generation,Solar,1210.000,2018-06-16T18:00:00Z,2018-06-16,39
