PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2017-04-16T01:58:10Z,Wind generation,Wind Onshore,34.144,2017-04-15T23:30:00Z,2017-04-16,2
2017-04-16T01:58:10Z,Wind generation,Wind Offshore,2106.772,2017-04-15T23:30:00Z,2017-04-16,2
2017-04-16T01:58:10Z,Solar generation,Solar,0.000,2017-04-15T23:30:00Z,2017-04-16,2
2017-04-16T01:28:10Z,Wind generation,Wind Onshore,34.144,2017-04-15T23:00:00Z,2017-04-16,1
2017-04-16T01:28:10Z,Wind generation,Wind Offshore,2225.871,2017-04-15T23:00:00Z,2017-04-16,1
2017-04-16T01:28:10Z,Solar generation,Solar,0.000,2017-04-15T23:00:00Z,2017-04-16,1
2017-04-16T00:58:09Z,Wind generation,Wind Onshore,35.578,2017-04-15T22:30:00Z,2017-04-15,48
2017-04-16T00:58:09Z,Wind generation,Wind Offshore,2150.511,2017-04-15T22:30:00Z,2017-04-15,48
2017-04-16T00:58:09Z,Solar generation,Solar,0.000,2017-04-15T22:30:00Z,2017-04-15,48
2017-04-16T00:28:10Z,Wind generation,Wind Onshore,35.578,2017-04-15T22:00:00Z,2017-04-15,47
2017-04-16T00:28:10Z,Wind generation,Wind Offshore,2074.044,2017-04-15T22:00:00Z,2017-04-15,47
2017-04-16T00:28:10Z,Solar generation,Solar,0.000,2017-04-15T22:00:00Z,2017-04-15,47
2017-04-15T23:58:09Z,Wind generation,Wind Onshore,37.063,2017-04-15T21:30:00Z,2017-04-15,46
2017-04-15T23:58:09Z,Wind generation,Wind Offshore,2136.456,2017-04-15T21:30:00Z,2017-04-15,46
2017-04-15T23:58:09Z,Solar generation,Solar,0.000,2017-04-15T21:30:00Z,2017-04-15,46
2017-04-15T23:28:09Z,Wind generation,Wind Onshore,37.063,2017-04-15T21:00:00Z,2017-04-15,45
2017-04-15T23:28:09Z,Wind generation,Wind Offshore,2070.134,2017-04-15T21:00:00Z,2017-04-15,45
2017-04-15T23:28:09Z,Solar generation,Solar,0.000,2017-04-15T21:00:00Z,2017-04-15,45
2017-04-15T22:58:09Z,Wind generation,Wind Onshore,38.843,2017-04-15T20:30:00Z,2017-04-15,44
