PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2021-06-20T01:58:08Z,Wind generation,Wind Onshore,1887.489,2021-06-19T23:30:00Z,2021-06-20,2
2021-06-20T01:58:08Z,Wind generation,Wind Offshore,3466.859,2021-06-19T23:30:00Z,2021-06-20,2
2021-06-20T01:58:08Z,Solar generation,Solar,0.000,2021-06-19T23:30:00Z,2021-06-20,2
2021-06-20T01:28:09Z,Wind generation,Wind Onshore,1903.243,2021-06-19T23:00:00Z,2021-06-20,1
2021-06-20T01:28:09Z,Wind generation,Wind Offshore,3199.407,2021-06-19T23:00:00Z,2021-06-20,1
2021-06-20T01:28:09Z,Solar generation,Solar,1.000,2021-06-19T23:00:00Z,2021-06-20,1
2021-06-20T00:58:07Z,Wind generation,Wind Onshore,974.509,2021-06-19T22:30:00Z,2021-06-19,48
2021-06-20T00:58:07Z,Wind generation,Wind Offshore,132.739,2021-06-19T22:30:00Z,2021-06-19,48
2021-06-20T00:58:07Z,Solar generation,Solar,0.000,2021-06-19T22:30:00Z,2021-06-19,48
2021-06-20T00:28:08Z,Wind generation,Wind Onshore,1916.879,2021-06-19T22:00:00Z,2021-06-19,47
2021-06-20T00:28:08Z,Wind generation,Wind Offshore,3298.000,2021-06-19T22:00:00Z,2021-06-19,47
2021-06-20T00:28:08Z,Solar generation,Solar,1.000,2021-06-19T22:00:00Z,2021-06-19,47
2021-06-19T23:58:08Z,Wind generation,Wind Onshore,1806.981,2021-06-19T21:30:00Z,2021-06-19,46
2021-06-19T23:58:08Z,Wind generation,Wind Offshore,2955.454,2021-06-19T21:30:00Z,2021-06-19,46
2021-06-19T23:58:08Z,Solar generation,Solar,0.000,2021-06-19T21:30:00Z,2021-06-19,46
2021-06-19T23:28:08Z,Wind generation,Wind Onshore,1890.414,2021-06-19T21:00:00Z,2021-06-19,45
2021-06-19T23:28:08Z,Wind generation,Wind Offshore,3414.257,2021-06-19T21:00:00Z,2021-06-19,45
