PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2021-05-23T01:58:08Z,Wind generation,Wind Onshore,992.638,2021-05-22T23:30:00Z,2021-05-23,2
2021-05-23T01:58:08Z,Wind generation,Wind Offshore,620.492,2021-05-22T23:30:00Z,2021-05-23,2
2021-05-23T01:58:08Z,Solar generation,Solar,0.000,2021-05-22T23:30:00Z,2021-05-23,2
2021-05-23T01:28:08Z,Wind generation,Wind Onshore,971.316,2021-05-22T23:00:00Z,2021-05-23,1
2021-05-23T01:28:08Z,Wind generation,Wind Offshore,628.460,2021-05-22T23:00:00Z,2021-05-23,1
2021-05-23T01:28:08Z,Solar generation,Solar,0.000,2021-05-22T23:00:00Z,2021-05-23,1
2021-05-23T00:58:08Z,Wind generation,Wind Onshore,998.798,2021-05-22T22:30:00Z,2021-05-22,48
2021-05-23T00:58:08Z,Wind generation,Wind Offshore,653.567,2021-05-22T22:30:00Z,2021-05-22,48
2021-05-23T00:58:08Z,Solar generation,Solar,0.000,2021-05-22T22:30:00Z,2021-05-22,48
2021-05-23T00:28:08Z,Wind generation,Wind Onshore,1038.182,2021-05-22T22:00:00Z,2021-05-22,47
2021-05-23T00:28:08Z,Wind generation,Wind Offshore,780.487,2021-05-22T22:00:00Z,2021-05-22,47
2021-05-23T00:28:08Z,Solar generation,Solar,0.000,2021-05-22T22:00:00Z,2021-05-22,47
2021-05-22T23:58:07Z,Wind generation,Wind Onshore,1066.756,2021-05-22T21:30:00Z,2021-05-22,46
2021-05-22T23:58:07Z,Wind generation,Wind Offshore,558.356,2021-05-22T21:30:00Z,2021-05-22,46
2021-05-22T23:58:07Z,Solar generation,Solar,0.000,2021-05-22T21:30:00Z,2021-05-22,46
2021-05-22T23:28:08Z,Wind generation,Wind Onshore,1106.728,2021-05-22T21:00:00Z,2021-05-22,45
2021-05-22T23:28:08Z,Wind generation,Wind Offshore,507.988,2021-05-22T21:00:00Z,2021-05-22,45
2021-05-22T23:28:08Z,Solar generation,Solar,0.000,2021-05-22T21:00:00Z,2021-05-22,45
2021-05-22T22:58:07Z,Wind generation,Wind Onshore,1234.666,2021-05-22T20:30:00Z,2021-05-22,44
2021-05-22T22:58:07Z,Wind generation,Wind Offshore,577.109,2021-05-22T20:30:00Z,2021-05-22,44
2021-05-22T22:58:07Z,Solar generation,Solar,35.000,2021-05-22T20:30:00Z,2021-05-22,44
2021-05-22T22:28:09Z,Wind generation,Wind Onshore,1269.622,2021-05-22T20:00:00Z,2021-05-22,43
2021-05-22T22:28:09Z,Wind generation,Wind Offshore,645.000,2021-05-22T20:00:00Z,2021-05-22,43
2021-05-22T22:28:09Z,Solar generation,Solar,83.000,2021-05-22T20:00:00Z,2021-05-22,43
2021-05-22T21:58:08Z,Wind generation,Wind Onshore,1495.426,2021-05-22T19:30:00Z,2021-05-22,42
2021-05-22T21:58:08Z,Wind generation,Wind Offshore,693.491,2021-05-22T19:30:00Z,2021-05-22,42
2021-05-22T21:58:08Z,Solar generation,Solar,284.000,2021-05-22T19:30:00Z,2021-05-22,42
2021-05-22T21:28:09Z,Wind generation,Wind Onshore,1587.484,2021-05-22T19:00:00Z,2021-05-22,41
2021-05-22T21:28:09Z,Wind generation,Wind Offshore,776.315,2021-05-22T19:00:00Z,2021-05-22,41
2021-05-22T21:28:09Z,Solar generation,Solar,518.000,2021-05-22T19:00:00Z,2021-05-22,41
2021-05-22T20:58:08Z,Wind generation,Wind Onshore,2003.459,2021-05-22T18:30:00Z,2021-05-22,40
2021-05-22T20:58:08Z,Wind generation,Wind Offshore,925.873,2021-05-22T18:30:00Z,2021-05-22,40
2021-05-22T20:58:08Z,Solar generation,Solar,883.000,2021-05-22T18:30:00Z,2021-05-22,40
2021-05-22T20:28:08Z,Wind generation,Wind Onshore,2143.669,2021-05-22T18:00:00Z,2021-05-22,39
2021-05-22T20:28:08Z,Wind generation,Wind Offshore,982.898,2021-05-22T18:00:00Z,2021-05-22,39
2021-05-22T20:28:08Z,Solar generation,Solar,1259.000,2021-05-22T18:00:00Z,2021-05-22,39
2021-05-22T19:58:07Z,Wind generation,Wind Onshore,2392.166,2021-05-22T17:30:00Z,2021-05-22,38
2021-05-22T19:58:07Z,Wind generation,Wind Offshore,1238.039,2021-05-22T17:30:00Z,2021-05-22,38
2021-05-22T19:58:07Z,Solar generation,Solar,1771.000,2021-05-22T17:30:00Z,2021-05-22,38
2021-05-22T19:28:08Z,Wind generation,Wind Onshore,2446.319,2021-05-22T17:00:00Z,2021-05-22,37
2021-05-22T19:28:08Z,Wind generation,Wind Offshore,1505.884,2021-05-22T17:00:00Z,2021-05-22,37
2021-05-22T19:28:08Z,Solar generation,Solar,2500.000,2021-05-22T17:00:00Z,2021-05-22,37
2021-05-22T18:58:08Z,Wind generation,Wind Onshore,2629.878,2021-05-22T16:30:00Z,2021-05-22,36
2021-05-22T18:58:08Z,Wind generation,Wind Offshore,1899.428,2021-05-22T16:30:00Z,2021-05-22,36
2021-05-22T18:58:08Z,Solar generation,Solar,3040.000,2021-05-22T16:30:00Z,2021-05-22,36
2021-05-22T18:28:08Z,Wind generation,Wind Onshore,2694.844,2021-05-22T16:00:00Z,2021-05-22,35
2021-05-22T18:28:08Z,Wind generation,Wind Offshore,1920.655,2021-05-22T16:00:00Z,2021-05-22,35
2021-05-22T18:28:08Z,Solar generation,Solar,3169.000,2021-05-22T16:00:00Z,2021-05-22,35
2021-05-22T17:58:08Z,Wind generation,Wind Onshore,2822.058,2021-05-22T15:30:00Z,2021-05-22,34
2021-05-22T17:58:08Z,Wind generation,Wind Offshore,2086.105,2021-05-22T15:30:00Z,2021-05-22,34
2021-05-22T17:58:08Z,Solar generation,Solar,3483.000,2021-05-22T15:30:00Z,2021-05-22,34
2021-05-22T17:28:08Z,Wind generation,Wind Onshore,2753.394,2021-05-22T15:00:00Z,2021-05-22,33
2021-05-22T17:28:08Z,Wind generation,Wind Offshore,2135.772,2021-05-22T15:00:00Z,2021-05-22,33
2021-05-22T17:28:08Z,Solar generation,Solar,4056.000,2021-05-22T15:00:00Z,2021-05-22,33
2021-05-22T16:58:07Z,Wind generation,Wind Onshore,2696.168,2021-05-22T14:30:00Z,2021-05-22,32
2021-05-22T16:58:07Z,Wind generation,Wind Offshore,2273.119,2021-05-22T14:30:00Z,2021-05-22,32
2021-05-22T16:58:07Z,Solar generation,Solar,4261.000,2021-05-22T14:30:00Z,2021-05-22,32
2021-05-22T16:28:13Z,Wind generation,Wind Onshore,2750.641,2021-05-22T14:00:00Z,2021-05-22,31
2021-05-22T16:28:13Z,Wind generation,Wind Offshore,2456.948,2021-05-22T14:00:00Z,2021-05-22,31
2021-05-22T16:28:13Z,Solar generation,Solar,4553.000,2021-05-22T14:00:00Z,2021-05-22,31
2021-05-22T15:58:07Z,Wind generation,Wind Onshore,2688.358,2021-05-22T13:30:00Z,2021-05-22,30
2021-05-22T15:58:07Z,Wind generation,Wind Offshore,2772.834,2021-05-22T13:30:00Z,2021-05-22,30
2021-05-22T15:58:07Z,Solar generation,Solar,4778.000,2021-05-22T13:30:00Z,2021-05-22,30
2021-05-22T15:28:09Z,Wind generation,Wind Onshore,2648.076,2021-05-22T13:00:00Z,2021-05-22,29
2021-05-22T15:28:09Z,Wind generation,Wind Offshore,2848.869,2021-05-22T13:00:00Z,2021-05-22,29
2021-05-22T15:28:09Z,Solar generation,Solar,4878.000,2021-05-22T13:00:00Z,2021-05-22,29
2021-05-22T14:58:07Z,Wind generation,Wind Onshore,2736.529,2021-05-22T12:30:00Z,2021-05-22,28
2021-05-22T14:58:07Z,Wind generation,Wind Offshore,3034.550,2021-05-22T12:30:00Z,2021-05-22,28
2021-05-22T14:58:07Z,Solar generation,Solar,5098.000,2021-05-22T12:30:00Z,2021-05-22,28
2021-05-22T14:28:08Z,Wind generation,Wind Onshore,2738.753,2021-05-22T12:00:00Z,2021-05-22,27
2021-05-22T14:28:08Z,Wind generation,Wind Offshore,3128.743,2021-05-22T12:00:00Z,2021-05-22,27
2021-05-22T14:28:08Z,Solar generation,Solar,5017.000,2021-05-22T12:00:00Z,2021-05-22,27
2021-05-22T13:58:07Z,Wind generation,Wind Onshore,2719.883,2021-05-22T11:30:00Z,2021-05-22,26
2021-05-22T13:58:07Z,Wind generation,Wind Offshore,3481.282,2021-05-22T11:30:00Z,2021-05-22,26
2021-05-22T13:58:07Z,Solar generation,Solar,4581.000,2021-05-22T11:30:00Z,2021-05-22,26
2021-05-22T13:28:09Z,Wind generation,Wind Onshore,2758.718,2021-05-22T11:00:00Z,2021-05-22,25
2021-05-22T13:28:09Z,Wind generation,Wind Offshore,3719.739,2021-05-22T11:00:00Z,2021-05-22,25
2021-05-22T13:28:09Z,Solar generation,Solar,4289.000,2021-05-22T11:00:00Z,2021-05-22,25
2021-05-22T12:58:08Z,Wind generation,Wind Onshore,2834.653,2021-05-22T10:30:00Z,2021-05-22,24
2021-05-22T12:58:08Z,Wind generation,Wind Offshore,4035.012,2021-05-22T10:30:00Z,2021-05-22,24
2021-05-22T12:58:08Z,Solar generation,Solar,4111.000,2021-05-22T10:30:00Z,2021-05-22,24
2021-05-22T12:28:09Z,Wind generation,Wind Onshore,2743.908,2021-05-22T10:00:00Z,2021-05-22,23
2021-05-22T12:28:09Z,Wind generation,Wind Offshore,4005.398,2021-05-22T10:00:00Z,2021-05-22,23
