PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2020-12-27T00:58:08Z,Wind generation,Wind Onshore,6376.530,2020-12-26T23:30:00Z,2020-12-26,48
2020-12-27T00:58:08Z,Wind generation,Wind Offshore,6142.473,2020-12-26T23:30:00Z,2020-12-26,48
2020-12-27T00:58:08Z,Solar generation,Solar,0.000,2020-12-26T23:30:00Z,2020-12-26,48
2020-12-27T00:28:08Z,Wind generation,Wind Onshore,6260.661,2020-12-26T23:00:00Z,2020-12-26,47
2020-12-27T00:28:08Z,Wind generation,Wind Offshore,6432.406,2020-12-26T23:00:00Z,2020-12-26,47
2020-12-27T00:28:08Z,Solar generation,Solar,0.000,2020-12-26T23:00:00Z,2020-12-26,47
2020-12-26T23:58:07Z,Wind generation,Wind Onshore,6515.233,2020-12-26T22:30:00Z,2020-12-26,46
2020-12-26T23:58:07Z,Wind generation,Wind Offshore,6556.607,2020-12-26T22:30:00Z,2020-12-26,46
2020-12-26T23:58:07Z,Solar generation,Solar,0.000,2020-12-26T22:30:00Z,2020-12-26,46
2020-12-26T23:28:08Z,Wind generation,Wind Onshore,6708.827,2020-12-26T22:00:00Z,2020-12-26,45
2020-12-26T23:28:08Z,Wind generation,Wind Offshore,6649.733,2020-12-26T22:00:00Z,2020-12-26,45
2020-12-26T23:28:08Z,Solar generation,Solar,0.000,2020-12-26T22:00:00Z,2020-12-26,45
2020-12-26T22:58:08Z,Wind generation,Wind Onshore,6876.606,2020-12-26T21:30:00Z,2020-12-26,44
2020-12-26T22:58:08Z,Wind generation,Wind Offshore,6583.959,2020-12-26T21:30:00Z,2020-12-26,44
2020-12-26T22:58:08Z,Solar generation,Solar,0.000,2020-12-26T21:30:00Z,2020-12-26,44
2020-12-26T22:28:08Z,Wind generation,Wind Onshore,7070.504,2020-12-26T21:00:00Z,2020-12-26,43
2020-12-26T22:28:08Z,Wind generation,Wind Offshore,6422.459,2020-12-26T21:00:00Z,2020-12-26,43
2020-12-26T22:28:08Z,Solar generation,Solar,1.000,2020-12-26T21:00:00Z,2020-12-26,43
2020-12-26T21:58:08Z,Wind generation,Wind Onshore,7251.685,2020-12-26T20:30:00Z,2020-12-26,42
2020-12-26T21:58:08Z,Wind generation,Wind Offshore,6562.635,2020-12-26T20:30:00Z,2020-12-26,42
2020-12-26T21:58:08Z,Solar generation,Solar,0.000,2020-12-26T20:30:00Z,2020-12-26,42
2020-12-26T21:28:10Z,Wind generation,Wind Onshore,7243.195,2020-12-26T20:00:00Z,2020-12-26,41
2020-12-26T21:28:10Z,Wind generation,Wind Offshore,6621.392,2020-12-26T20:00:00Z,2020-12-26,41
2020-12-26T21:28:10Z,Solar generation,Solar,1.000,2020-12-26T20:00:00Z,2020-12-26,41
2020-12-26T20:58:07Z,Wind generation,Wind Onshore,7589.886,2020-12-26T19:30:00Z,2020-12-26,40
2020-12-26T20:58:07Z,Wind generation,Wind Offshore,6607.729,2020-12-26T19:30:00Z,2020-12-26,40
2020-12-26T20:58:07Z,Solar generation,Solar,1.000,2020-12-26T19:30:00Z,2020-12-26,40
2020-12-26T20:28:09Z,Wind generation,Wind Onshore,7641.797,2020-12-26T19:00:00Z,2020-12-26,39
2020-12-26T20:28:09Z,Wind generation,Wind Offshore,6658.337,2020-12-26T19:00:00Z,2020-12-26,39
2020-12-26T20:28:09Z,Solar generation,Solar,0.000,2020-12-26T19:00:00Z,2020-12-26,39
2020-12-26T19:58:08Z,Wind generation,Wind Onshore,7244.953,2020-12-26T18:30:00Z,2020-12-26,38
2020-12-26T19:58:08Z,Wind generation,Wind Offshore,6488.303,2020-12-26T18:30:00Z,2020-12-26,38
2020-12-26T19:58:08Z,Solar generation,Solar,0.000,2020-12-26T18:30:00Z,2020-12-26,38
2020-12-26T19:28:08Z,Wind generation,Wind Onshore,7186.954,2020-12-26T18:00:00Z,2020-12-26,37
2020-12-26T19:28:08Z,Wind generation,Wind Offshore,6585.767,2020-12-26T18:00:00Z,2020-12-26,37
2020-12-26T19:28:08Z,Solar generation,Solar,0.000,2020-12-26T18:00:00Z,2020-12-26,37
2020-12-26T18:58:08Z,Wind generation,Wind Onshore,7109.153,2020-12-26T17:30:00Z,2020-12-26,36
2020-12-26T18:58:08Z,Wind generation,Wind Offshore,6786.442,2020-12-26T17:30:00Z,2020-12-26,36
2020-12-26T18:58:08Z,Solar generation,Solar,0.000,2020-12-26T17:30:00Z,2020-12-26,36
2020-12-26T18:28:10Z,Wind generation,Wind Onshore,7178.928,2020-12-26T17:00:00Z,2020-12-26,35
2020-12-26T18:28:10Z,Wind generation,Wind Offshore,6813.317,2020-12-26T17:00:00Z,2020-12-26,35
2020-12-26T18:28:10Z,Solar generation,Solar,0.000,2020-12-26T17:00:00Z,2020-12-26,35
2020-12-26T17:58:08Z,Wind generation,Wind Onshore,7207.677,2020-12-26T16:30:00Z,2020-12-26,34
2020-12-26T17:58:08Z,Wind generation,Wind Offshore,6830.237,2020-12-26T16:30:00Z,2020-12-26,34
2020-12-26T17:58:08Z,Solar generation,Solar,2.000,2020-12-26T16:30:00Z,2020-12-26,34
2020-12-26T17:28:09Z,Wind generation,Wind Onshore,7050.879,2020-12-26T16:00:00Z,2020-12-26,33
2020-12-26T17:28:09Z,Wind generation,Wind Offshore,6818.318,2020-12-26T16:00:00Z,2020-12-26,33
2020-12-26T17:28:09Z,Solar generation,Solar,1.000,2020-12-26T16:00:00Z,2020-12-26,33
2020-12-26T16:58:07Z,Wind generation,Wind Onshore,7059.342,2020-12-26T15:30:00Z,2020-12-26,32
2020-12-26T16:58:07Z,Wind generation,Wind Offshore,6805.413,2020-12-26T15:30:00Z,2020-12-26,32
2020-12-26T16:58:07Z,Solar generation,Solar,2.000,2020-12-26T15:30:00Z,2020-12-26,32
2020-12-26T16:28:08Z,Wind generation,Wind Onshore,7041.108,2020-12-26T15:00:00Z,2020-12-26,31
2020-12-26T16:28:08Z,Wind generation,Wind Offshore,6790.260,2020-12-26T15:00:00Z,2020-12-26,31
2020-12-26T16:28:08Z,Solar generation,Solar,40.000,2020-12-26T15:00:00Z,2020-12-26,31
2020-12-26T15:58:08Z,Wind generation,Wind Onshore,7045.438,2020-12-26T14:30:00Z,2020-12-26,30
2020-12-26T15:58:08Z,Wind generation,Wind Offshore,6781.678,2020-12-26T14:30:00Z,2020-12-26,30
2020-12-26T15:58:08Z,Solar generation,Solar,159.000,2020-12-26T14:30:00Z,2020-12-26,30
2020-12-26T15:28:08Z,Wind generation,Wind Onshore,7107.053,2020-12-26T14:00:00Z,2020-12-26,29
