PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2021-05-02T01:58:08Z,Wind generation,Wind Onshore,198.960,2021-05-01T23:30:00Z,2021-05-02,2
2021-05-02T01:58:08Z,Wind generation,Wind Offshore,381.235,2021-05-01T23:30:00Z,2021-05-02,2
2021-05-02T01:58:08Z,Solar generation,Solar,0.000,2021-05-01T23:30:00Z,2021-05-02,2
2021-05-02T01:28:08Z,Wind generation,Wind Onshore,186.883,2021-05-01T23:00:00Z,2021-05-02,1
2021-05-02T01:28:08Z,Wind generation,Wind Offshore,333.151,2021-05-01T23:00:00Z,2021-05-02,1
2021-05-02T01:28:08Z,Solar generation,Solar,1.000,2021-05-01T23:00:00Z,2021-05-02,1
2021-05-02T00:58:08Z,Wind generation,Wind Onshore,191.711,2021-05-01T22:30:00Z,2021-05-01,48
2021-05-02T00:58:08Z,Wind generation,Wind Offshore,370.054,2021-05-01T22:30:00Z,2021-05-01,48
2021-05-02T00:58:08Z,Solar generation,Solar,1.000,2021-05-01T22:30:00Z,2021-05-01,48
2021-05-02T00:28:08Z,Wind generation,Wind Onshore,195.414,2021-05-01T22:00:00Z,2021-05-01,47
2021-05-02T00:28:08Z,Wind generation,Wind Offshore,392.241,2021-05-01T22:00:00Z,2021-05-01,47
2021-05-02T00:28:08Z,Solar generation,Solar,1.000,2021-05-01T22:00:00Z,2021-05-01,47
2021-05-01T23:58:07Z,Wind generation,Wind Onshore,216.822,2021-05-01T21:30:00Z,2021-05-01,46
2021-05-01T23:58:07Z,Wind generation,Wind Offshore,457.807,2021-05-01T21:30:00Z,2021-05-01,46
2021-05-01T23:58:07Z,Solar generation,Solar,0.000,2021-05-01T21:30:00Z,2021-05-01,46
2021-05-01T23:28:09Z,Wind generation,Wind Onshore,221.036,2021-05-01T21:00:00Z,2021-05-01,45
2021-05-01T23:28:09Z,Wind generation,Wind Offshore,514.147,2021-05-01T21:00:00Z,2021-05-01,45
2021-05-01T23:28:09Z,Solar generation,Solar,2.000,2021-05-01T21:00:00Z,2021-05-01,45
