StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2023-04-29T23:30:00Z,APXMIDP,2023-04-30,2,90.40,658.900
2023-04-29T23:30:00Z,N2EXMIDP,2023-04-30,2,0.00,0.000
2023-04-29T23:00:00Z,APXMIDP,2023-04-30,1,92.10,774.700
2023-04-29T23:00:00Z,N2EXMIDP,2023-04-30,1,0.00,0.000
2023-04-29T22:30:00Z,APXMIDP,2023-04-29,48,102.67,696.900
2023-04-29T22:30:00Z,N2EXMIDP,2023-04-29,48,0.00,0.000
2023-04-29T22:00:00Z,APXMIDP,2023-04-29,47,89.56,1110.250
2023-04-29T22:00:00Z,N2EXMIDP,2023-04-29,47,0.00,0.000
2023-04-29T21:30:00Z,APXMIDP,2023-04-29,46,96.16,1075.350
2023-04-29T21:30:00Z,N2EXMIDP,2023-04-29,46,0.00,0.000
2023-04-29T21:00:00Z,APXMIDP,2023-04-29,45,99.07,999.700
2023-04-29T21:00:00Z,N2EXMIDP,2023-04-29,45,0.00,0.000
2023-04-29T20:30:00Z,APXMIDP,2023-04-29,44,88.44,928.500
2023-04-29T20:30:00Z,N2EXMIDP,2023-04-29,44,0.00,0.000
2023-04-29T20:00:00Z,APXMIDP,2023-04-29,43,100.59,986.300
2023-04-29T20:00:00Z,N2EXMIDP,2023-04-29,43,0.00,0.000
2023-04-29T19:30:00Z,APXMIDP,2023-04-29,42,107.69,1091.600
2023-04-29T19:30:00Z,N2EXMIDP,2023-04-29,42,0.00,0.000
2023-04-29T19:00:00Z,APXMIDP,2023-04-29,41,117.54,968.950
2023-04-29T19:00:00Z,N2EXMIDP,2023-04-29,41,0.00,0.000
2023-04-29T18:30:00Z,APXMIDP,2023-04-29,40,108.57,910.050
2023-04-29T18:30:00Z,N2EXMIDP,2023-04-29,40,0.00,0.000
2023-04-29T18:00:00Z,APXMIDP,2023-04-29,39,114.52,1037.900
2023-04-29T18:00:00Z,N2EXMIDP,2023-04-29,39,0.00,0.000
2023-04-29T17:30:00Z,APXMIDP,2023-04-29,38,106.57,1007.850
2023-04-29T17:30:00Z,N2EXMIDP,2023-04-29,38,0.00,0.000
2023-04-29T17:00:00Z,APXMIDP,2023-04-29,37,112.73,1190.100
2023-04-29T17:00:00Z,N2EXMIDP,2023-04-29,37,0.00,0.000
2023-04-29T16:30:00Z,APXMIDP,2023-04-29,36,102.34,1010.000
2023-04-29T16:30:00Z,N2EXMIDP,2023-04-29,36,0.00,0.000
2023-04-29T16:00:00Z,APXMIDP,2023-04-29,35,97.43,926.400
2023-04-29T16:00:00Z,N2EXMIDP,2023-04-29,35,0.00,0.000
2023-04-29T15:30:00Z,APXMIDP,2023-04-29,34,85.05,890.300
2023-04-29T15:30:00Z,N2EXMIDP,2023-04-29,34,0.00,0.000
2023-04-29T15:00:00Z,APXMIDP,2023-04-29,33,84.15,953.600
2023-04-29T15:00:00Z,N2EXMIDP,2023-04-29,33,0.00,0.000
2023-04-29T14:30:00Z,APXMIDP,2023-04-29,32,87.04,1098.600
2023-04-29T14:30:00Z,N2EXMIDP,2023-04-29,32,0.00,0.000
2023-04-29T14:00:00Z,APXMIDP,2023-04-29,31,83.71,1039.900
2023-04-29T14:00:00Z,N2EXMIDP,2023-04-29,31,0.00,0.000
2023-04-29T13:30:00Z,APXMIDP,2023-04-29,30,80.37,1023.550
2023-04-29T13:30:00Z,N2EXMIDP,2023-04-29,30,0.00,0.000
2023-04-29T13:00:00Z,APXMIDP,2023-04-29,29,79.84,1217.300
2023-04-29T13:00:00Z,N2EXMIDP,2023-04-29,29,0.00,0.000
2023-04-29T12:30:00Z,APXMIDP,2023-04-29,28,81.50,1328.950
2023-04-29T12:30:00Z,N2EXMIDP,2023-04-29,28,0.00,0.000
2023-04-29T12:00:00Z,APXMIDP,2023-04-29,27,83.15,1157.800
2023-04-29T12:00:00Z,N2EXMIDP,2023-04-29,27,0.00,0.000
2023-04-29T11:30:00Z,APXMIDP,2023-04-29,26,85.02,882.250
2023-04-29T11:30:00Z,N2EXMIDP,2023-04-29,26,0.00,0.000
2023-04-29T11:00:00Z,APXMIDP,2023-04-29,25,87.91,805.350
2023-04-29T11:00:00Z,N2EXMIDP,2023-04-29,25,0.00,0.000
2023-04-29T10:30:00Z,APXMIDP,2023-04-29,24,95.26,1271.200
2023-04-29T10:30:00Z,N2EXMIDP,2023-04-29,24,0.00,0.000
2023-04-29T10:00:00Z,APXMIDP,2023-04-29,23,98.21,1301.800
2023-04-29T10:00:00Z,N2EXMIDP,2023-04-29,23,0.00,0.000
2023-04-29T09:30:00Z,APXMIDP,2023-04-29,22,98.12,922.300
2023-04-29T09:30:00Z,N2EXMIDP,2023-04-29,22,0.00,0.000
2023-04-29T09:00:00Z,APXMIDP,2023-04-29,21,104.21,910.700
2023-04-29T09:00:00Z,N2EXMIDP,2023-04-29,21,0.00,0.000
2023-04-29T08:30:00Z,APXMIDP,2023-04-29,20,110.12,844.850
2023-04-29T08:30:00Z,N2EXMIDP,2023-04-29,20,0.00,0.000
2023-04-29T08:00:00Z,APXMIDP,2023-04-29,19,115.22,1046.350
2023-04-29T08:00:00Z,N2EXMIDP,2023-04-29,19,0.00,0.000
2023-04-29T07:30:00Z,APXMIDP,2023-04-29,18,109.26,790.000
2023-04-29T07:30:00Z,N2EXMIDP,2023-04-29,18,0.00,0.000
2023-04-29T07:00:00Z,APXMIDP,2023-04-29,17,108.30,766.100
2023-04-29T07:00:00Z,N2EXMIDP,2023-04-29,17,0.00,0.000
2023-04-29T06:30:00Z,APXMIDP,2023-04-29,16,108.75,603.700
2023-04-29T06:30:00Z,N2EXMIDP,2023-04-29,16,0.00,0.000
2023-04-29T06:00:00Z,APXMIDP,2023-04-29,15,91.56,680.950
2023-04-29T06:00:00Z,N2EXMIDP,2023-04-29,15,0.00,0.000
2023-04-29T05:30:00Z,APXMIDP,2023-04-29,14,105.51,441.350
2023-04-29T05:30:00Z,N2EXMIDP,2023-04-29,14,0.00,0.000
2023-04-29T05:00:00Z,APXMIDP,2023-04-29,13,94.03,456.200
2023-04-29T05:00:00Z,N2EXMIDP,2023-04-29,13,0.00,0.000
2023-04-29T04:30:00Z,APXMIDP,2023-04-29,12,94.02,640.950
2023-04-29T04:30:00Z,N2EXMIDP,2023-04-29,12,0.00,0.000
2023-04-29T04:00:00Z,APXMIDP,2023-04-29,11,90.97,508.350
2023-04-29T04:00:00Z,N2EXMIDP,2023-04-29,11,0.00,0.000
2023-04-29T03:30:00Z,APXMIDP,2023-04-29,10,90.01,449.550
2023-04-29T03:30:00Z,N2EXMIDP,2023-04-29,10,0.00,0.000
2023-04-29T03:00:00Z,APXMIDP,2023-04-29,9,90.83,460.800
2023-04-29T03:00:00Z,N2EXMIDP,2023-04-29,9,0.00,0.000
2023-04-29T02:30:00Z,APXMIDP,2023-04-29,8,85.77,456.400
2023-04-29T02:30:00Z,N2EXMIDP,2023-04-29,8,0.00,0.000
2023-04-29T02:00:00Z,APXMIDP,2023-04-29,7,87.48,504.600
2023-04-29T02:00:00Z,N2EXMIDP,2023-04-29,7,0.00,0.000
2023-04-29T01:30:00Z,APXMIDP,2023-04-29,6,93.17,463.500
2023-04-29T01:30:00Z,N2EXMIDP,2023-04-29,6,0.00,0.000
2023-04-29T01:00:00Z,APXMIDP,2023-04-29,5,100.59,529.600
2023-04-29T01:00:00Z,N2EXMIDP,2023-04-29,5,0.00,0.000
2023-04-29T00:30:00Z,APXMIDP,2023-04-29,4,94.11,479.300
2023-04-29T00:30:00Z,N2EXMIDP,2023-04-29,4,0.00,0.000
2023-04-29T00:00:00Z,APXMIDP,2023-04-29,3,88.73,425.350
2023-04-29T00:00:00Z,N2EXMIDP,2023-04-29,3,0.00,0.000
2023-04-28T23:30:00Z,APXMIDP,2023-04-29,2,93.86,479.900
2023-04-28T23:30:00Z,N2EXMIDP,2023-04-29,2,0.00,0.000
2023-04-28T23:00:00Z,APXMIDP,2023-04-29,1,99.27,620.000
2023-04-28T23:00:00Z,N2EXMIDP,2023-04-29,1,0.00,0.000
