PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2019-11-10T00:58:09Z,Wind generation,Wind Onshore,2206.701,2019-11-09T23:30:00Z,2019-11-09,48
2019-11-10T00:58:09Z,Wind generation,Wind Offshore,2178.130,2019-11-09T23:30:00Z,2019-11-09,48
2019-11-10T00:58:09Z,Solar generation,Solar,0.000,2019-11-09T23:30:00Z,2019-11-09,48
2019-11-10T00:28:09Z,Wind generation,Wind Onshore,2070.087,2019-11-09T23:00:00Z,2019-11-09,47
2019-11-10T00:28:09Z,Wind generation,Wind Offshore,2255.658,2019-11-09T23:00:00Z,2019-11-09,47
2019-11-10T00:28:09Z,Solar generation,Solar,0.000,2019-11-09T23:00:00Z,2019-11-09,47
2019-11-09T23:58:10Z,Wind generation,Wind Onshore,1969.966,2019-11-09T22:30:00Z,2019-11-09,46
2019-11-09T23:58:10Z,Wind generation,Wind Offshore,2230.947,2019-11-09T22:30:00Z,2019-11-09,46
2019-11-09T23:58:10Z,Solar generation,Solar,0.000,2019-11-09T22:30:00Z,2019-11-09,46
2019-11-09T23:28:10Z,Wind generation,Wind Onshore,1821.699,2019-11-09T22:00:00Z,2019-11-09,45
2019-11-09T23:28:10Z,Wind generation,Wind Offshore,2101.862,2019-11-09T22:00:00Z,2019-11-09,45
2019-11-09T23:28:10Z,Solar generation,Solar,0.000,2019-11-09T22:00:00Z,2019-11-09,45
2019-11-09T22:58:09Z,Wind generation,Wind Onshore,1810.502,2019-11-09T21:30:00Z,2019-11-09,44
2019-11-09T22:58:09Z,Wind generation,Wind Offshore,2081.985,2019-11-09T21:30:00Z,2019-11-09,44
2019-11-09T22:58:09Z,Solar generation,Solar,0.000,2019-11-09T21:30:00Z,2019-11-09,44
2019-11-09T22:28:10Z,Wind generation,Wind Onshore,1663.401,2019-11-09T21:00:00Z,2019-11-09,43
2019-11-09T22:28:10Z,Wind generation,Wind Offshore,2068.053,2019-11-09T21:00:00Z,2019-11-09,43
2019-11-09T22:28:10Z,Solar generation,Solar,1.000,2019-11-09T21:00:00Z,2019-11-09,43
2019-11-09T21:58:08Z,Wind generation,Wind Onshore,1700.782,2019-11-09T20:30:00Z,2019-11-09,42
2019-11-09T21:58:08Z,Wind generation,Wind Offshore,2171.768,2019-11-09T20:30:00Z,2019-11-09,42
2019-11-09T21:58:08Z,Solar generation,Solar,0.000,2019-11-09T20:30:00Z,2019-11-09,42
2019-11-09T21:28:09Z,Wind generation,Wind Onshore,1814.148,2019-11-09T20:00:00Z,2019-11-09,41
2019-11-09T21:28:09Z,Wind generation,Wind Offshore,2225.481,2019-11-09T20:00:00Z,2019-11-09,41
2019-11-09T21:28:09Z,Solar generation,Solar,0.000,2019-11-09T20:00:00Z,2019-11-09,41
2019-11-09T20:58:09Z,Wind generation,Wind Onshore,1776.208,2019-11-09T19:30:00Z,2019-11-09,40
2019-11-09T20:58:09Z,Wind generation,Wind Offshore,2288.535,2019-11-09T19:30:00Z,2019-11-09,40
2019-11-09T20:58:09Z,Solar generation,Solar,1.000,2019-11-09T19:30:00Z,2019-11-09,40
2019-11-09T20:28:09Z,Wind generation,Wind Onshore,1795.779,2019-11-09T19:00:00Z,2019-11-09,39
2019-11-09T20:28:09Z,Wind generation,Wind Offshore,2224.424,2019-11-09T19:00:00Z,2019-11-09,39
2019-11-09T20:28:09Z,Solar generation,Solar,0.000,2019-11-09T19:00:00Z,2019-11-09,39
2019-11-09T19:58:09Z,Wind generation,Wind Onshore,1745.162,2019-11-09T18:30:00Z,2019-11-09,38
2019-11-09T19:58:09Z,Wind generation,Wind Offshore,2080.861,2019-11-09T18:30:00Z,2019-11-09,38
2019-11-09T19:58:09Z,Solar generation,Solar,0.000,2019-11-09T18:30:00Z,2019-11-09,38
2019-11-09T19:28:10Z,Wind generation,Wind Onshore,1743.990,2019-11-09T18:00:00Z,2019-11-09,37
2019-11-09T19:28:10Z,Wind generation,Wind Offshore,1899.281,2019-11-09T18:00:00Z,2019-11-09,37
2019-11-09T19:28:10Z,Solar generation,Solar,0.000,2019-11-09T18:00:00Z,2019-11-09,37
2019-11-09T18:58:09Z,Wind generation,Wind Onshore,1824.933,2019-11-09T17:30:00Z,2019-11-09,36
2019-11-09T18:58:09Z,Wind generation,Wind Offshore,1739.157,2019-11-09T17:30:00Z,2019-11-09,36
2019-11-09T18:58:09Z,Solar generation,Solar,0.000,2019-11-09T17:30:00Z,2019-11-09,36
2019-11-09T18:28:11Z,Wind generation,Wind Onshore,1780.907,2019-11-09T17:00:00Z,2019-11-09,35
2019-11-09T18:28:11Z,Wind generation,Wind Offshore,1600.110,2019-11-09T17:00:00Z,2019-11-09,35
2019-11-09T18:28:11Z,Solar generation,Solar,0.000,2019-11-09T17:00:00Z,2019-11-09,35
2019-11-09T17:58:10Z,Wind generation,Wind Onshore,1811.513,2019-11-09T16:30:00Z,2019-11-09,34
2019-11-09T17:58:10Z,Wind generation,Wind Offshore,1421.658,2019-11-09T16:30:00Z,2019-11-09,34
2019-11-09T17:58:10Z,Solar generation,Solar,1.000,2019-11-09T16:30:00Z,2019-11-09,34
2019-11-09T17:28:09Z,Wind generation,Wind Onshore,1927.810,2019-11-09T16:00:00Z,2019-11-09,33
2019-11-09T17:28:09Z,Wind generation,Wind Offshore,1459.910,2019-11-09T16:00:00Z,2019-11-09,33
2019-11-09T17:28:09Z,Solar generation,Solar,12.000,2019-11-09T16:00:00Z,2019-11-09,33
2019-11-09T16:58:09Z,Wind generation,Wind Onshore,1994.700,2019-11-09T15:30:00Z,2019-11-09,32
2019-11-09T16:58:09Z,Wind generation,Wind Offshore,1261.830,2019-11-09T15:30:00Z,2019-11-09,32
2019-11-09T16:58:09Z,Solar generation,Solar,97.000,2019-11-09T15:30:00Z,2019-11-09,32
2019-11-09T16:28:10Z,Wind generation,Wind Onshore,1966.897,2019-11-09T15:00:00Z,2019-11-09,31
2019-11-09T16:28:10Z,Wind generation,Wind Offshore,1195.915,2019-11-09T15:00:00Z,2019-11-09,31
2019-11-09T16:28:10Z,Solar generation,Solar,271.000,2019-11-09T15:00:00Z,2019-11-09,31
2019-11-09T15:58:10Z,Wind generation,Wind Onshore,2092.868,2019-11-09T14:30:00Z,2019-11-09,30
