PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2024-05-12T01:58:09Z,Wind generation,Wind Onshore,2317.218,2024-05-11T23:30:00Z,2024-05-12,2
2024-05-12T01:58:09Z,Wind generation,Wind Offshore,2186.803,2024-05-11T23:30:00Z,2024-05-12,2
2024-05-12T01:58:09Z,Solar generation,Solar,0.000,2024-05-11T23:30:00Z,2024-05-12,2
2024-05-12T01:28:09Z,Wind generation,Wind Onshore,1275.916,2024-05-11T23:00:00Z,2024-05-12,1
2024-05-12T01:28:09Z,Wind generation,Wind Offshore,172.769,2024-05-11T23:00:00Z,2024-05-12,1
2024-05-12T01:28:09Z,Solar generation,Solar,0.000,2024-05-11T23:00:00Z,2024-05-12,1
2024-05-12T00:58:09Z,Wind generation,Wind Onshore,1235.788,2024-05-11T22:30:00Z,2024-05-11,48
2024-05-12T00:58:09Z,Wind generation,Wind Offshore,173.698,2024-05-11T22:30:00Z,2024-05-11,48
2024-05-12T00:58:09Z,Solar generation,Solar,0.000,2024-05-11T22:30:00Z,2024-05-11,48
2024-05-12T00:28:09Z,Wind generation,Wind Onshore,2418.778,2024-05-11T22:00:00Z,2024-05-11,47
2024-05-12T00:28:09Z,Wind generation,Wind Offshore,2139.756,2024-05-11T22:00:00Z,2024-05-11,47
2024-05-12T00:28:09Z,Solar generation,Solar,0.000,2024-05-11T22:00:00Z,2024-05-11,47
2024-05-11T23:58:08Z,Wind generation,Wind Onshore,2328.505,2024-05-11T21:30:00Z,2024-05-11,46
2024-05-11T23:58:08Z,Wind generation,Wind Offshore,2083.096,2024-05-11T21:30:00Z,2024-05-11,46
2024-05-11T23:58:08Z,Solar generation,Solar,0.000,2024-05-11T21:30:00Z,2024-05-11,46
2024-05-11T23:28:09Z,Wind generation,Wind Onshore,2302.783,2024-05-11T21:00:00Z,2024-05-11,45
2024-05-11T23:28:09Z,Wind generation,Wind Offshore,2037.117,2024-05-11T21:00:00Z,2024-05-11,45
2024-05-11T23:28:09Z,Solar generation,Solar,0.000,2024-05-11T21:00:00Z,2024-05-11,45
2024-05-11T22:58:09Z,Wind generation,Wind Onshore,1028.659,2024-05-11T20:30:00Z,2024-05-11,44
2024-05-11T22:58:09Z,Wind generation,Wind Offshore,195.117,2024-05-11T20:30:00Z,2024-05-11,44
2024-05-11T22:58:09Z,Solar generation,Solar,0.000,2024-05-11T20:30:00Z,2024-05-11,44
2024-05-11T22:28:09Z,Wind generation,Wind Onshore,1028.659,2024-05-11T20:00:00Z,2024-05-11,43
2024-05-11T22:28:09Z,Wind generation,Wind Offshore,195.117,2024-05-11T20:00:00Z,2024-05-11,43
2024-05-11T22:28:09Z,Solar generation,Solar,0.000,2024-05-11T20:00:00Z,2024-05-11,43
2024-05-11T21:58:09Z,Wind generation,Wind Onshore,1793.279,2024-05-11T19:30:00Z,2024-05-11,42
2024-05-11T21:58:09Z,Wind generation,Wind Offshore,1883.538,2024-05-11T19:30:00Z,2024-05-11,42
2024-05-11T21:58:09Z,Solar generation,Solar,10.000,2024-05-11T19:30:00Z,2024-05-11,42
2024-05-11T21:28:09Z,Wind generation,Wind Onshore,1809.429,2024-05-11T19:00:00Z,2024-05-11,41
2024-05-11T21:28:09Z,Wind generation,Wind Offshore,1763.814,2024-05-11T19:00:00Z,2024-05-11,41
2024-05-11T21:28:09Z,Solar generation,Solar,176.000,2024-05-11T19:00:00Z,2024-05-11,41
2024-05-11T20:58:09Z,Wind generation,Wind Onshore,1073.985,2024-05-11T18:30:00Z,2024-05-11,40
2024-05-11T20:58:09Z,Wind generation,Wind Offshore,186.202,2024-05-11T18:30:00Z,2024-05-11,40
2024-05-11T20:58:09Z,Solar generation,Solar,561.000,2024-05-11T18:30:00Z,2024-05-11,40
2024-05-11T20:28:09Z,Wind generation,Wind Onshore,1991.070,2024-05-11T18:00:00Z,2024-05-11,39
2024-05-11T20:28:09Z,Wind generation,Wind Offshore,1638.404,2024-05-11T18:00:00Z,2024-05-11,39
2024-05-11T20:28:09Z,Solar generation,Solar,1075.000,2024-05-11T18:00:00Z,2024-05-11,39
2024-05-11T19:58:09Z,Wind generation,Wind Onshore,1259.116,2024-05-11T17:30:00Z,2024-05-11,38
2024-05-11T19:58:09Z,Wind generation,Wind Offshore,184.724,2024-05-11T17:30:00Z,2024-05-11,38
2024-05-11T19:58:09Z,Solar generation,Solar,1817.000,2024-05-11T17:30:00Z,2024-05-11,38
2024-05-11T19:28:08Z,Wind generation,Wind Onshore,2185.719,2024-05-11T17:00:00Z,2024-05-11,37
2024-05-11T19:28:08Z,Wind generation,Wind Offshore,1381.327,2024-05-11T17:00:00Z,2024-05-11,37
2024-05-11T19:28:08Z,Solar generation,Solar,2618.000,2024-05-11T17:00:00Z,2024-05-11,37
2024-05-11T18:58:08Z,Wind generation,Wind Onshore,1323.373,2024-05-11T16:30:00Z,2024-05-11,36
2024-05-11T18:58:08Z,Wind generation,Wind Offshore,186.563,2024-05-11T16:30:00Z,2024-05-11,36
2024-05-11T18:58:08Z,Solar generation,Solar,3509.000,2024-05-11T16:30:00Z,2024-05-11,36
2024-05-11T18:28:09Z,Wind generation,Wind Onshore,2442.883,2024-05-11T16:00:00Z,2024-05-11,35
2024-05-11T18:28:09Z,Wind generation,Wind Offshore,1196.038,2024-05-11T16:00:00Z,2024-05-11,35
2024-05-11T18:28:09Z,Solar generation,Solar,4454.000,2024-05-11T16:00:00Z,2024-05-11,35
2024-05-11T17:58:08Z,Wind generation,Wind Onshore,2335.472,2024-05-11T15:30:00Z,2024-05-11,34
2024-05-11T17:58:08Z,Wind generation,Wind Offshore,1238.241,2024-05-11T15:30:00Z,2024-05-11,34
2024-05-11T17:58:08Z,Solar generation,Solar,5354.000,2024-05-11T15:30:00Z,2024-05-11,34
2024-05-11T17:28:09Z,Wind generation,Wind Onshore,1267.679,2024-05-11T15:00:00Z,2024-05-11,33
2024-05-11T17:28:09Z,Wind generation,Wind Offshore,205.168,2024-05-11T15:00:00Z,2024-05-11,33
2024-05-11T17:28:09Z,Solar generation,Solar,6245.000,2024-05-11T15:00:00Z,2024-05-11,33
2024-05-11T16:58:08Z,Wind generation,Wind Onshore,2321.029,2024-05-11T14:30:00Z,2024-05-11,32
2024-05-11T16:58:08Z,Wind generation,Wind Offshore,1131.427,2024-05-11T14:30:00Z,2024-05-11,32
2024-05-11T16:58:08Z,Solar generation,Solar,7081.000,2024-05-11T14:30:00Z,2024-05-11,32
2024-05-11T16:28:09Z,Wind generation,Wind Onshore,2224.841,2024-05-11T14:00:00Z,2024-05-11,31
2024-05-11T16:28:09Z,Wind generation,Wind Offshore,1020.843,2024-05-11T14:00:00Z,2024-05-11,31
2024-05-11T16:28:09Z,Solar generation,Solar,7951.000,2024-05-11T14:00:00Z,2024-05-11,31
2024-05-11T15:58:08Z,Wind generation,Wind Onshore,2195.816,2024-05-11T13:30:00Z,2024-05-11,30
2024-05-11T15:58:08Z,Wind generation,Wind Offshore,979.799,2024-05-11T13:30:00Z,2024-05-11,30
2024-05-11T15:58:08Z,Solar generation,Solar,8729.000,2024-05-11T13:30:00Z,2024-05-11,30
2024-05-11T15:28:09Z,Wind generation,Wind Onshore,2116.726,2024-05-11T13:00:00Z,2024-05-11,29
2024-05-11T15:28:09Z,Wind generation,Wind Offshore,985.692,2024-05-11T13:00:00Z,2024-05-11,29
