PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2022-12-18T00:58:08Z,Wind generation,Wind Onshore,2096.489,2022-12-17T23:30:00Z,2022-12-17,48
2022-12-18T00:58:08Z,Wind generation,Wind Offshore,4413.298,2022-12-17T23:30:00Z,2022-12-17,48
2022-12-18T00:58:08Z,Solar generation,Solar,0.000,2022-12-17T23:30:00Z,2022-12-17,48
2022-12-18T00:28:09Z,Wind generation,Wind Onshore,2071.476,2022-12-17T23:00:00Z,2022-12-17,47
2022-12-18T00:28:09Z,Wind generation,Wind Offshore,4754.604,2022-12-17T23:00:00Z,2022-12-17,47
2022-12-18T00:28:09Z,Solar generation,Solar,0.000,2022-12-17T23:00:00Z,2022-12-17,47
2022-12-17T23:28:09Z,Wind generation,Wind Onshore,2283.347,2022-12-17T22:00:00Z,2022-12-17,45
2022-12-17T23:28:09Z,Wind generation,Wind Offshore,5064.435,2022-12-17T22:00:00Z,2022-12-17,45
2022-12-17T23:28:09Z,Solar generation,Solar,0.000,2022-12-17T22:00:00Z,2022-12-17,45
2022-12-17T22:58:08Z,Wind generation,Wind Onshore,2364.350,2022-12-17T21:30:00Z,2022-12-17,44
2022-12-17T22:58:08Z,Wind generation,Wind Offshore,5435.467,2022-12-17T21:30:00Z,2022-12-17,44
2022-12-17T22:58:08Z,Solar generation,Solar,0.000,2022-12-17T21:30:00Z,2022-12-17,44
2022-12-17T22:28:08Z,Wind generation,Wind Onshore,2304.059,2022-12-17T21:00:00Z,2022-12-17,43
2022-12-17T22:28:08Z,Wind generation,Wind Offshore,5533.137,2022-12-17T21:00:00Z,2022-12-17,43
2022-12-17T22:28:08Z,Solar generation,Solar,0.000,2022-12-17T21:00:00Z,2022-12-17,43
2022-12-17T21:58:08Z,Wind generation,Wind Onshore,2317.643,2022-12-17T20:30:00Z,2022-12-17,42
2022-12-17T21:58:08Z,Wind generation,Wind Offshore,5480.611,2022-12-17T20:30:00Z,2022-12-17,42
2022-12-17T21:58:08Z,Solar generation,Solar,0.000,2022-12-17T20:30:00Z,2022-12-17,42
2022-12-17T21:28:08Z,Wind generation,Wind Onshore,2309.039,2022-12-17T20:00:00Z,2022-12-17,41
2022-12-17T21:28:08Z,Wind generation,Wind Offshore,5653.336,2022-12-17T20:00:00Z,2022-12-17,41
2022-12-17T21:28:08Z,Solar generation,Solar,0.000,2022-12-17T20:00:00Z,2022-12-17,41
2022-12-17T20:58:08Z,Wind generation,Wind Onshore,2455.037,2022-12-17T19:30:00Z,2022-12-17,40
2022-12-17T20:58:08Z,Wind generation,Wind Offshore,5308.309,2022-12-17T19:30:00Z,2022-12-17,40
2022-12-17T20:58:08Z,Solar generation,Solar,0.000,2022-12-17T19:30:00Z,2022-12-17,40
2022-12-17T20:28:09Z,Wind generation,Wind Onshore,2623.952,2022-12-17T19:00:00Z,2022-12-17,39
2022-12-17T20:28:09Z,Wind generation,Wind Offshore,5436.736,2022-12-17T19:00:00Z,2022-12-17,39
2022-12-17T20:28:09Z,Solar generation,Solar,0.000,2022-12-17T19:00:00Z,2022-12-17,39
2022-12-17T18:58:08Z,Wind generation,Wind Onshore,2845.882,2022-12-17T17:30:00Z,2022-12-17,36
2022-12-17T18:58:08Z,Wind generation,Wind Offshore,5564.203,2022-12-17T17:30:00Z,2022-12-17,36
2022-12-17T18:58:08Z,Solar generation,Solar,0.000,2022-12-17T17:30:00Z,2022-12-17,36
2022-12-17T18:28:09Z,Wind generation,Wind Onshore,2978.908,2022-12-17T17:00:00Z,2022-12-17,35
2022-12-17T18:28:09Z,Wind generation,Wind Offshore,5657.692,2022-12-17T17:00:00Z,2022-12-17,35
2022-12-17T18:28:09Z,Solar generation,Solar,0.000,2022-12-17T17:00:00Z,2022-12-17,35
2022-12-17T17:58:08Z,Wind generation,Wind Onshore,3014.529,2022-12-17T16:30:00Z,2022-12-17,34
2022-12-17T17:58:08Z,Wind generation,Wind Offshore,5862.213,2022-12-17T16:30:00Z,2022-12-17,34
2022-12-17T17:58:08Z,Solar generation,Solar,0.000,2022-12-17T16:30:00Z,2022-12-17,34
2022-12-17T16:58:08Z,Wind generation,Wind Onshore,3382.560,2022-12-17T15:30:00Z,2022-12-17,32
2022-12-17T16:58:08Z,Wind generation,Wind Offshore,5915.368,2022-12-17T15:30:00Z,2022-12-17,32
2022-12-17T16:58:08Z,Solar generation,Solar,21.000,2022-12-17T15:30:00Z,2022-12-17,32
2022-12-17T16:28:09Z,Wind generation,Wind Onshore,3449.904,2022-12-17T15:00:00Z,2022-12-17,31
2022-12-17T16:28:09Z,Wind generation,Wind Offshore,6089.392,2022-12-17T15:00:00Z,2022-12-17,31
2022-12-17T16:28:09Z,Solar generation,Solar,222.000,2022-12-17T15:00:00Z,2022-12-17,31
2022-12-17T15:58:08Z,Wind generation,Wind Onshore,3724.139,2022-12-17T14:30:00Z,2022-12-17,30
2022-12-17T15:58:08Z,Wind generation,Wind Offshore,6232.216,2022-12-17T14:30:00Z,2022-12-17,30
2022-12-17T15:58:08Z,Solar generation,Solar,564.000,2022-12-17T14:30:00Z,2022-12-17,30
2022-12-17T15:28:09Z,Wind generation,Wind Onshore,3891.474,2022-12-17T14:00:00Z,2022-12-17,29
2022-12-17T15:28:09Z,Wind generation,Wind Offshore,6276.943,2022-12-17T14:00:00Z,2022-12-17,29
2022-12-17T15:28:09Z,Solar generation,Solar,924.000,2022-12-17T14:00:00Z,2022-12-17,29
2022-12-17T13:58:08Z,Wind generation,Wind Onshore,4036.216,2022-12-17T12:30:00Z,2022-12-17,26
2022-12-17T13:58:08Z,Wind generation,Wind Offshore,6374.851,2022-12-17T12:30:00Z,2022-12-17,26
2022-12-17T13:58:08Z,Solar generation,Solar,1823.000,2022-12-17T12:30:00Z,2022-12-17,26
2022-12-17T11:28:08Z,Wind generation,Wind Onshore,3846.414,2022-12-17T10:00:00Z,2022-12-17,21
2022-12-17T11:28:08Z,Wind generation,Wind Offshore,6098.859,2022-12-17T10:00:00Z,2022-12-17,21
2022-12-17T11:28:08Z,Solar generation,Solar,1139.000,2022-12-17T10:00:00Z,2022-12-17,21
2022-12-17T10:58:08Z,Wind generation,Wind Onshore,3967.077,2022-12-17T09:30:00Z,2022-12-17,20
2022-12-17T10:58:08Z,Wind generation,Wind Offshore,6166.538,2022-12-17T09:30:00Z,2022-12-17,20
2022-12-17T10:58:08Z,Solar generation,Solar,808.000,2022-12-17T09:30:00Z,2022-12-17,20
2022-12-17T09:58:08Z,Wind generation,Wind Onshore,3826.625,2022-12-17T08:30:00Z,2022-12-17,18
2022-12-17T09:58:08Z,Wind generation,Wind Offshore,5977.000,2022-12-17T08:30:00Z,2022-12-17,18
2022-12-17T09:58:08Z,Solar generation,Solar,149.000,2022-12-17T08:30:00Z,2022-12-17,18
2022-12-17T09:28:09Z,Wind generation,Wind Onshore,3940.489,2022-12-17T08:00:00Z,2022-12-17,17
2022-12-17T09:28:09Z,Wind generation,Wind Offshore,5989.335,2022-12-17T08:00:00Z,2022-12-17,17
2022-12-17T09:28:09Z,Solar generation,Solar,2.000,2022-12-17T08:00:00Z,2022-12-17,17
2022-12-17T08:58:08Z,Wind generation,Wind Onshore,3878.798,2022-12-17T07:30:00Z,2022-12-17,16
2022-12-17T08:58:08Z,Wind generation,Wind Offshore,5516.294,2022-12-17T07:30:00Z,2022-12-17,16
2022-12-17T08:58:08Z,Solar generation,Solar,0.000,2022-12-17T07:30:00Z,2022-12-17,16
2022-12-17T08:28:09Z,Wind generation,Wind Onshore,3977.121,2022-12-17T07:00:00Z,2022-12-17,15
2022-12-17T08:28:09Z,Wind generation,Wind Offshore,5346.997,2022-12-17T07:00:00Z,2022-12-17,15
2022-12-17T08:28:09Z,Solar generation,Solar,0.000,2022-12-17T07:00:00Z,2022-12-17,15
2022-12-17T07:58:08Z,Wind generation,Wind Onshore,3932.629,2022-12-17T06:30:00Z,2022-12-17,14
2022-12-17T07:58:08Z,Wind generation,Wind Offshore,5326.903,2022-12-17T06:30:00Z,2022-12-17,14
2022-12-17T07:58:08Z,Solar generation,Solar,0.000,2022-12-17T06:30:00Z,2022-12-17,14
2022-12-17T07:28:08Z,Wind generation,Wind Onshore,3873.213,2022-12-17T06:00:00Z,2022-12-17,13
2022-12-17T07:28:08Z,Wind generation,Wind Offshore,5329.073,2022-12-17T06:00:00Z,2022-12-17,13
2022-12-17T07:28:08Z,Solar generation,Solar,0.000,2022-12-17T06:00:00Z,2022-12-17,13
2022-12-17T06:28:08Z,Wind generation,Wind Onshore,3860.924,2022-12-17T05:00:00Z,2022-12-17,11
2022-12-17T06:28:08Z,Wind generation,Wind Offshore,5210.358,2022-12-17T05:00:00Z,2022-12-17,11
2022-12-17T06:28:08Z,Solar generation,Solar,0.000,2022-12-17T05:00:00Z,2022-12-17,11
2022-12-17T05:58:08Z,Wind generation,Wind Onshore,3786.314,2022-12-17T04:30:00Z,2022-12-17,10
2022-12-17T05:58:08Z,Wind generation,Wind Offshore,5106.317,2022-12-17T04:30:00Z,2022-12-17,10
2022-12-17T05:58:08Z,Solar generation,Solar,0.000,2022-12-17T04:30:00Z,2022-12-17,10
2022-12-17T05:28:09Z,Wind generation,Wind Onshore,3649.507,2022-12-17T04:00:00Z,2022-12-17,9
2022-12-17T05:28:09Z,Wind generation,Wind Offshore,5035.608,2022-12-17T04:00:00Z,2022-12-17,9
2022-12-17T05:28:09Z,Solar generation,Solar,0.000,2022-12-17T04:00:00Z,2022-12-17,9
2022-12-17T04:58:08Z,Wind generation,Wind Onshore,3715.627,2022-12-17T03:30:00Z,2022-12-17,8
