PublishTime,BusinessType,PsrType,Quantity,StartTime,SettlementDate,SettlementPeriod
2022-09-11T01:58:07Z,Wind generation,Wind Onshore,775.529,2022-09-10T23:30:00Z,2022-09-11,2
2022-09-11T01:58:07Z,Wind generation,Wind Offshore,350.599,2022-09-10T23:30:00Z,2022-09-11,2
2022-09-11T01:58:07Z,Solar generation,Solar,0.000,2022-09-10T23:30:00Z,2022-09-11,2
2022-09-11T01:28:07Z,Wind generation,Wind Onshore,735.345,2022-09-10T23:00:00Z,2022-09-11,1
2022-09-11T01:28:07Z,Wind generation,Wind Offshore,360.502,2022-09-10T23:00:00Z,2022-09-11,1
2022-09-11T01:28:07Z,Solar generation,Solar,0.000,2022-09-10T23:00:00Z,2022-09-11,1
2022-09-11T00:58:07Z,Wind generation,Wind Onshore,659.705,2022-09-10T22:30:00Z,2022-09-10,48
2022-09-11T00:58:07Z,Wind generation,Wind Offshore,348.024,2022-09-10T22:30:00Z,2022-09-10,48
2022-09-11T00:58:07Z,Solar generation,Solar,0.000,2022-09-10T22:30:00Z,2022-09-10,48
2022-09-11T00:28:07Z,Wind generation,Wind Onshore,655.385,2022-09-10T22:00:00Z,2022-09-10,47
2022-09-11T00:28:07Z,Wind generation,Wind Offshore,449.883,2022-09-10T22:00:00Z,2022-09-10,47
2022-09-11T00:28:07Z,Solar generation,Solar,0.000,2022-09-10T22:00:00Z,2022-09-10,47
2022-09-10T23:58:06Z,Wind generation,Wind Onshore,597.187,2022-09-10T21:30:00Z,2022-09-10,46
2022-09-10T23:58:06Z,Wind generation,Wind Offshore,541.171,2022-09-10T21:30:00Z,2022-09-10,46
2022-09-10T23:58:06Z,Solar generation,Solar,0.000,2022-09-10T21:30:00Z,2022-09-10,46
2022-09-10T23:28:07Z,Wind generation,Wind Onshore,567.113,2022-09-10T21:00:00Z,2022-09-10,45
2022-09-10T23:28:07Z,Wind generation,Wind Offshore,599.180,2022-09-10T21:00:00Z,2022-09-10,45
2022-09-10T23:28:07Z,Solar generation,Solar,0.000,2022-09-10T21:00:00Z,2022-09-10,45
2022-09-10T22:58:06Z,Wind generation,Wind Onshore,537.177,2022-09-10T20:30:00Z,2022-09-10,44
2022-09-10T22:58:06Z,Wind generation,Wind Offshore,637.135,2022-09-10T20:30:00Z,2022-09-10,44
2022-09-10T22:58:06Z,Solar generation,Solar,0.000,2022-09-10T20:30:00Z,2022-09-10,44
2022-09-10T22:28:07Z,Wind generation,Wind Onshore,556.023,2022-09-10T20:00:00Z,2022-09-10,43
2022-09-10T22:28:07Z,Wind generation,Wind Offshore,631.546,2022-09-10T20:00:00Z,2022-09-10,43
2022-09-10T22:28:07Z,Solar generation,Solar,0.000,2022-09-10T20:00:00Z,2022-09-10,43
2022-09-10T21:58:06Z,Wind generation,Wind Onshore,518.324,2022-09-10T19:30:00Z,2022-09-10,42
2022-09-10T21:58:06Z,Wind generation,Wind Offshore,592.553,2022-09-10T19:30:00Z,2022-09-10,42
2022-09-10T21:58:06Z,Solar generation,Solar,0.000,2022-09-10T19:30:00Z,2022-09-10,42
2022-09-10T21:28:07Z,Wind generation,Wind Onshore,518.237,2022-09-10T19:00:00Z,2022-09-10,41
2022-09-10T21:28:07Z,Wind generation,Wind Offshore,610.330,2022-09-10T19:00:00Z,2022-09-10,41
2022-09-10T21:28:07Z,Solar generation,Solar,0.000,2022-09-10T19:00:00Z,2022-09-10,41
2022-09-10T20:58:06Z,Wind generation,Wind Onshore,512.599,2022-09-10T18:30:00Z,2022-09-10,40
2022-09-10T20:58:06Z,Wind generation,Wind Offshore,588.367,2022-09-10T18:30:00Z,2022-09-10,40
2022-09-10T20:58:06Z,Solar generation,Solar,0.000,2022-09-10T18:30:00Z,2022-09-10,40
2022-09-10T20:28:08Z,Wind generation,Wind Onshore,508.066,2022-09-10T18:00:00Z,2022-09-10,39
2022-09-10T20:28:08Z,Wind generation,Wind Offshore,620.392,2022-09-10T18:00:00Z,2022-09-10,39
2022-09-10T20:28:08Z,Solar generation,Solar,50.000,2022-09-10T18:00:00Z,2022-09-10,39
2022-09-10T19:58:06Z,Wind generation,Wind Onshore,553.755,2022-09-10T17:30:00Z,2022-09-10,38
2022-09-10T19:58:06Z,Wind generation,Wind Offshore,656.477,2022-09-10T17:30:00Z,2022-09-10,38
2022-09-10T19:58:06Z,Solar generation,Solar,392.000,2022-09-10T17:30:00Z,2022-09-10,38
2022-09-10T19:28:07Z,Wind generation,Wind Onshore,548.574,2022-09-10T17:00:00Z,2022-09-10,37
2022-09-10T19:28:07Z,Wind generation,Wind Offshore,660.308,2022-09-10T17:00:00Z,2022-09-10,37
2022-09-10T19:28:07Z,Solar generation,Solar,943.000,2022-09-10T17:00:00Z,2022-09-10,37
2022-09-10T18:58:07Z,Wind generation,Wind Onshore,575.538,2022-09-10T16:30:00Z,2022-09-10,36
2022-09-10T18:58:07Z,Wind generation,Wind Offshore,579.962,2022-09-10T16:30:00Z,2022-09-10,36
2022-09-10T18:58:07Z,Solar generation,Solar,1444.000,2022-09-10T16:30:00Z,2022-09-10,36
2022-09-10T18:28:06Z,Wind generation,Wind Onshore,567.545,2022-09-10T16:00:00Z,2022-09-10,35
2022-09-10T18:28:06Z,Wind generation,Wind Offshore,557.898,2022-09-10T16:00:00Z,2022-09-10,35
2022-09-10T18:28:06Z,Solar generation,Solar,2044.000,2022-09-10T16:00:00Z,2022-09-10,35
2022-09-10T17:58:07Z,Wind generation,Wind Onshore,617.276,2022-09-10T15:30:00Z,2022-09-10,34
2022-09-10T17:58:07Z,Wind generation,Wind Offshore,570.674,2022-09-10T15:30:00Z,2022-09-10,34
2022-09-10T17:58:07Z,Solar generation,Solar,2506.000,2022-09-10T15:30:00Z,2022-09-10,34
2022-09-10T17:28:06Z,Wind generation,Wind Onshore,610.249,2022-09-10T15:00:00Z,2022-09-10,33
2022-09-10T17:28:06Z,Wind generation,Wind Offshore,700.576,2022-09-10T15:00:00Z,2022-09-10,33
2022-09-10T17:28:06Z,Solar generation,Solar,2778.000,2022-09-10T15:00:00Z,2022-09-10,33
2022-09-10T16:58:06Z,Wind generation,Wind Onshore,651.559,2022-09-10T14:30:00Z,2022-09-10,32
2022-09-10T16:58:06Z,Wind generation,Wind Offshore,753.771,2022-09-10T14:30:00Z,2022-09-10,32
2022-09-10T16:58:06Z,Solar generation,Solar,3178.000,2022-09-10T14:30:00Z,2022-09-10,32
2022-09-10T16:28:06Z,Wind generation,Wind Onshore,661.180,2022-09-10T14:00:00Z,2022-09-10,31
2022-09-10T16:28:06Z,Wind generation,Wind Offshore,837.750,2022-09-10T14:00:00Z,2022-09-10,31
2022-09-10T16:28:06Z,Solar generation,Solar,3634.000,2022-09-10T14:00:00Z,2022-09-10,31
2022-09-10T15:58:06Z,Wind generation,Wind Onshore,657.864,2022-09-10T13:30:00Z,2022-09-10,30
2022-09-10T15:58:06Z,Wind generation,Wind Offshore,897.945,2022-09-10T13:30:00Z,2022-09-10,30
2022-09-10T15:58:06Z,Solar generation,Solar,3712.000,2022-09-10T13:30:00Z,2022-09-10,30
2022-09-10T15:28:07Z,Wind generation,Wind Onshore,669.576,2022-09-10T13:00:00Z,2022-09-10,29
2022-09-10T15:28:07Z,Wind generation,Wind Offshore,905.611,2022-09-10T13:00:00Z,2022-09-10,29
2022-09-10T15:28:07Z,Solar generation,Solar,3884.000,2022-09-10T13:00:00Z,2022-09-10,29
2022-09-10T14:58:06Z,Wind generation,Wind Onshore,725.283,2022-09-10T12:30:00Z,2022-09-10,28
2022-09-10T14:58:06Z,Wind generation,Wind Offshore,1004.547,2022-09-10T12:30:00Z,2022-09-10,28
2022-09-10T14:58:06Z,Solar generation,Solar,4057.000,2022-09-10T12:30:00Z,2022-09-10,28
2022-09-10T14:28:07Z,Wind generation,Wind Onshore,766.473,2022-09-10T12:00:00Z,2022-09-10,27
2022-09-10T14:28:07Z,Wind generation,Wind Offshore,989.318,2022-09-10T12:00:00Z,2022-09-10,27
2022-09-10T14:28:07Z,Solar generation,Solar,4373.000,2022-09-10T12:00:00Z,2022-09-10,27
2022-09-10T13:58:07Z,Wind generation,Wind Onshore,857.830,2022-09-10T11:30:00Z,2022-09-10,26
2022-09-10T13:58:07Z,Wind generation,Wind Offshore,1023.493,2022-09-10T11:30:00Z,2022-09-10,26
2022-09-10T13:58:07Z,Solar generation,Solar,4430.000,2022-09-10T11:30:00Z,2022-09-10,26
2022-09-10T13:28:08Z,Wind generation,Wind Onshore,904.860,2022-09-10T11:00:00Z,2022-09-10,25
2022-09-10T13:28:08Z,Wind generation,Wind Offshore,1132.604,2022-09-10T11:00:00Z,2022-09-10,25
