StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2021-06-26T23:30:00Z,APXMIDP,2021-06-27,2,64.09,240.000
2021-06-26T23:30:00Z,N2EXMIDP,2021-06-27,2,0.00,0.000
2021-06-26T23:00:00Z,APXMIDP,2021-06-27,1,73.06,281.150
2021-06-26T23:00:00Z,N2EXMIDP,2021-06-27,1,0.00,0.000
2021-06-26T22:30:00Z,APXMIDP,2021-06-26,48,88.96,298.300
2021-06-26T22:30:00Z,N2EXMIDP,2021-06-26,48,0.00,0.000
2021-06-26T22:00:00Z,APXMIDP,2021-06-26,47,84.10,552.100
2021-06-26T22:00:00Z,N2EXMIDP,2021-06-26,47,0.00,0.000
2021-06-26T21:30:00Z,APXMIDP,2021-06-26,46,72.38,527.200
2021-06-26T21:30:00Z,N2EXMIDP,2021-06-26,46,0.00,0.000
2021-06-26T21:00:00Z,APXMIDP,2021-06-26,45,84.90,433.300
2021-06-26T21:00:00Z,N2EXMIDP,2021-06-26,45,0.00,0.000
2021-06-26T20:30:00Z,APXMIDP,2021-06-26,44,93.33,486.350
2021-06-26T20:30:00Z,N2EXMIDP,2021-06-26,44,0.00,0.000
2021-06-26T20:00:00Z,APXMIDP,2021-06-26,43,94.91,631.800
2021-06-26T20:00:00Z,N2EXMIDP,2021-06-26,43,0.00,0.000
2021-06-26T19:30:00Z,APXMIDP,2021-06-26,42,98.16,719.400
2021-06-26T19:30:00Z,N2EXMIDP,2021-06-26,42,0.00,0.000
2021-06-26T19:00:00Z,APXMIDP,2021-06-26,41,108.24,668.700
2021-06-26T19:00:00Z,N2EXMIDP,2021-06-26,41,0.00,0.000
2021-06-26T18:30:00Z,APXMIDP,2021-06-26,40,106.99,773.950
2021-06-26T18:30:00Z,N2EXMIDP,2021-06-26,40,0.00,0.000
2021-06-26T18:00:00Z,APXMIDP,2021-06-26,39,111.99,904.550
2021-06-26T18:00:00Z,N2EXMIDP,2021-06-26,39,0.00,0.000
2021-06-26T17:30:00Z,APXMIDP,2021-06-26,38,105.46,830.700
2021-06-26T17:30:00Z,N2EXMIDP,2021-06-26,38,0.00,0.000
2021-06-26T17:00:00Z,APXMIDP,2021-06-26,37,103.53,865.800
2021-06-26T17:00:00Z,N2EXMIDP,2021-06-26,37,0.00,0.000
2021-06-26T16:30:00Z,APXMIDP,2021-06-26,36,101.04,711.900
2021-06-26T16:30:00Z,N2EXMIDP,2021-06-26,36,0.00,0.000
2021-06-26T16:00:00Z,APXMIDP,2021-06-26,35,90.00,942.500
2021-06-26T16:00:00Z,N2EXMIDP,2021-06-26,35,0.00,0.000
2021-06-26T15:30:00Z,APXMIDP,2021-06-26,34,80.41,718.100
2021-06-26T15:30:00Z,N2EXMIDP,2021-06-26,34,0.00,0.000
2021-06-26T15:00:00Z,APXMIDP,2021-06-26,33,75.77,554.250
2021-06-26T15:00:00Z,N2EXMIDP,2021-06-26,33,0.00,0.000
2021-06-26T14:30:00Z,APXMIDP,2021-06-26,32,76.05,499.550
2021-06-26T14:30:00Z,N2EXMIDP,2021-06-26,32,0.00,0.000
2021-06-26T14:00:00Z,APXMIDP,2021-06-26,31,74.06,636.050
2021-06-26T14:00:00Z,N2EXMIDP,2021-06-26,31,0.00,0.000
2021-06-26T13:30:00Z,APXMIDP,2021-06-26,30,65.81,623.400
2021-06-26T13:30:00Z,N2EXMIDP,2021-06-26,30,0.00,0.000
2021-06-26T13:00:00Z,APXMIDP,2021-06-26,29,70.23,441.250
2021-06-26T13:00:00Z,N2EXMIDP,2021-06-26,29,0.00,0.000
2021-06-26T12:30:00Z,APXMIDP,2021-06-26,28,70.44,667.600
2021-06-26T12:30:00Z,N2EXMIDP,2021-06-26,28,0.00,0.000
2021-06-26T12:00:00Z,APXMIDP,2021-06-26,27,77.85,455.650
2021-06-26T12:00:00Z,N2EXMIDP,2021-06-26,27,0.00,0.000
2021-06-26T11:30:00Z,APXMIDP,2021-06-26,26,97.53,586.000
2021-06-26T11:30:00Z,N2EXMIDP,2021-06-26,26,0.00,0.000
2021-06-26T11:00:00Z,APXMIDP,2021-06-26,25,98.10,723.350
2021-06-26T11:00:00Z,N2EXMIDP,2021-06-26,25,0.00,0.000
2021-06-26T10:30:00Z,APXMIDP,2021-06-26,24,100.62,503.650
2021-06-26T10:30:00Z,N2EXMIDP,2021-06-26,24,0.00,0.000
2021-06-26T10:00:00Z,APXMIDP,2021-06-26,23,105.21,549.900
2021-06-26T10:00:00Z,N2EXMIDP,2021-06-26,23,0.00,0.000
2021-06-26T09:30:00Z,APXMIDP,2021-06-26,22,99.46,721.500
2021-06-26T09:30:00Z,N2EXMIDP,2021-06-26,22,0.00,0.000
2021-06-26T09:00:00Z,APXMIDP,2021-06-26,21,98.57,734.400
2021-06-26T09:00:00Z,N2EXMIDP,2021-06-26,21,0.00,0.000
2021-06-26T08:30:00Z,APXMIDP,2021-06-26,20,94.33,797.750
2021-06-26T08:30:00Z,N2EXMIDP,2021-06-26,20,0.00,0.000
2021-06-26T08:00:00Z,APXMIDP,2021-06-26,19,94.04,926.350
2021-06-26T08:00:00Z,N2EXMIDP,2021-06-26,19,0.00,0.000
2021-06-26T07:30:00Z,APXMIDP,2021-06-26,18,94.58,527.150
2021-06-26T07:30:00Z,N2EXMIDP,2021-06-26,18,0.00,0.000
2021-06-26T07:00:00Z,APXMIDP,2021-06-26,17,84.65,819.250
2021-06-26T07:00:00Z,N2EXMIDP,2021-06-26,17,0.00,0.000
2021-06-26T06:30:00Z,APXMIDP,2021-06-26,16,84.83,506.350
2021-06-26T06:30:00Z,N2EXMIDP,2021-06-26,16,0.00,0.000
2021-06-26T06:00:00Z,APXMIDP,2021-06-26,15,90.82,639.800
2021-06-26T06:00:00Z,N2EXMIDP,2021-06-26,15,0.00,0.000
2021-06-26T05:30:00Z,APXMIDP,2021-06-26,14,83.07,644.200
2021-06-26T05:30:00Z,N2EXMIDP,2021-06-26,14,0.00,0.000
2021-06-26T05:00:00Z,APXMIDP,2021-06-26,13,76.91,539.900
2021-06-26T05:00:00Z,N2EXMIDP,2021-06-26,13,0.00,0.000
2021-06-26T04:30:00Z,APXMIDP,2021-06-26,12,77.70,520.750
2021-06-26T04:30:00Z,N2EXMIDP,2021-06-26,12,0.00,0.000
2021-06-26T04:00:00Z,APXMIDP,2021-06-26,11,72.71,454.450
2021-06-26T04:00:00Z,N2EXMIDP,2021-06-26,11,0.00,0.000
2021-06-26T03:30:00Z,APXMIDP,2021-06-26,10,71.11,590.100
