StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2019-05-11T23:30:00Z,APXMIDP,2019-05-12,2,43.17,442.000
2019-05-11T23:30:00Z,N2EXMIDP,2019-05-12,2,0.00,0.000
2019-05-11T23:00:00Z,APXMIDP,2019-05-12,1,43.93,326.850
2019-05-11T23:00:00Z,N2EXMIDP,2019-05-12,1,0.00,0.000
2019-05-11T22:30:00Z,APXMIDP,2019-05-11,48,45.84,484.650
2019-05-11T22:30:00Z,N2EXMIDP,2019-05-11,48,0.00,0.000
2019-05-11T22:00:00Z,APXMIDP,2019-05-11,47,42.02,660.900
2019-05-11T22:00:00Z,N2EXMIDP,2019-05-11,47,0.00,0.000
2019-05-11T21:30:00Z,APXMIDP,2019-05-11,46,42.19,892.900
2019-05-11T21:30:00Z,N2EXMIDP,2019-05-11,46,0.00,0.000
2019-05-11T21:00:00Z,APXMIDP,2019-05-11,45,48.82,726.000
2019-05-11T21:00:00Z,N2EXMIDP,2019-05-11,45,0.00,0.000
2019-05-11T20:30:00Z,APXMIDP,2019-05-11,44,50.30,712.850
2019-05-11T20:30:00Z,N2EXMIDP,2019-05-11,44,0.00,0.000
2019-05-11T20:00:00Z,APXMIDP,2019-05-11,43,53.26,608.050
2019-05-11T20:00:00Z,N2EXMIDP,2019-05-11,43,0.00,0.000
2019-05-11T19:30:00Z,APXMIDP,2019-05-11,42,47.10,546.650
2019-05-11T19:30:00Z,N2EXMIDP,2019-05-11,42,0.00,0.000
2019-05-11T19:00:00Z,APXMIDP,2019-05-11,41,44.16,642.250
2019-05-11T19:00:00Z,N2EXMIDP,2019-05-11,41,0.00,0.000
2019-05-11T18:30:00Z,APXMIDP,2019-05-11,40,45.78,543.050
2019-05-11T18:30:00Z,N2EXMIDP,2019-05-11,40,0.00,0.000
2019-05-11T18:00:00Z,APXMIDP,2019-05-11,39,45.88,717.050
2019-05-11T18:00:00Z,N2EXMIDP,2019-05-11,39,0.00,0.000
2019-05-11T17:30:00Z,APXMIDP,2019-05-11,38,39.49,699.700
2019-05-11T17:30:00Z,N2EXMIDP,2019-05-11,38,0.00,0.000
2019-05-11T17:00:00Z,APXMIDP,2019-05-11,37,38.81,518.450
2019-05-11T17:00:00Z,N2EXMIDP,2019-05-11,37,0.00,0.000
2019-05-11T16:30:00Z,APXMIDP,2019-05-11,36,39.49,762.000
2019-05-11T16:30:00Z,N2EXMIDP,2019-05-11,36,0.00,0.000
2019-05-11T16:00:00Z,APXMIDP,2019-05-11,35,36.92,827.550
2019-05-11T16:00:00Z,N2EXMIDP,2019-05-11,35,0.00,0.000
2019-05-11T15:30:00Z,APXMIDP,2019-05-11,34,33.24,1256.400
2019-05-11T15:30:00Z,N2EXMIDP,2019-05-11,34,0.00,0.000
2019-05-11T15:00:00Z,APXMIDP,2019-05-11,33,32.71,1280.650
2019-05-11T15:00:00Z,N2EXMIDP,2019-05-11,33,0.00,0.000
2019-05-11T14:30:00Z,APXMIDP,2019-05-11,32,30.49,1168.900
2019-05-11T14:30:00Z,N2EXMIDP,2019-05-11,32,0.00,0.000
2019-05-11T14:00:00Z,APXMIDP,2019-05-11,31,30.06,1094.550
2019-05-11T14:00:00Z,N2EXMIDP,2019-05-11,31,0.00,0.000
2019-05-11T13:30:00Z,APXMIDP,2019-05-11,30,30.98,1289.950
2019-05-11T13:30:00Z,N2EXMIDP,2019-05-11,30,0.00,0.000
2019-05-11T13:00:00Z,APXMIDP,2019-05-11,29,32.68,1172.150
2019-05-11T13:00:00Z,N2EXMIDP,2019-05-11,29,0.00,0.000
2019-05-11T12:30:00Z,APXMIDP,2019-05-11,28,35.95,950.550
2019-05-11T12:30:00Z,N2EXMIDP,2019-05-11,28,0.00,0.000
2019-05-11T12:00:00Z,APXMIDP,2019-05-11,27,36.52,978.750
2019-05-11T12:00:00Z,N2EXMIDP,2019-05-11,27,0.00,0.000
2019-05-11T11:30:00Z,APXMIDP,2019-05-11,26,39.09,1162.600
2019-05-11T11:30:00Z,N2EXMIDP,2019-05-11,26,0.00,0.000
2019-05-11T11:00:00Z,APXMIDP,2019-05-11,25,39.49,1105.100
2019-05-11T11:00:00Z,N2EXMIDP,2019-05-11,25,0.00,0.000
2019-05-11T10:30:00Z,APXMIDP,2019-05-11,24,39.61,1103.550
2019-05-11T10:30:00Z,N2EXMIDP,2019-05-11,24,0.00,0.000
2019-05-11T10:00:00Z,APXMIDP,2019-05-11,23,41.75,1193.450
2019-05-11T10:00:00Z,N2EXMIDP,2019-05-11,23,0.00,0.000
2019-05-11T09:30:00Z,APXMIDP,2019-05-11,22,46.98,1022.750
2019-05-11T09:30:00Z,N2EXMIDP,2019-05-11,22,0.00,0.000
2019-05-11T09:00:00Z,APXMIDP,2019-05-11,21,49.59,943.500
2019-05-11T09:00:00Z,N2EXMIDP,2019-05-11,21,0.00,0.000
2019-05-11T08:30:00Z,APXMIDP,2019-05-11,20,52.38,1095.100
2019-05-11T08:30:00Z,N2EXMIDP,2019-05-11,20,0.00,0.000
2019-05-11T08:00:00Z,APXMIDP,2019-05-11,19,51.64,819.600
2019-05-11T08:00:00Z,N2EXMIDP,2019-05-11,19,0.00,0.000
2019-05-11T07:30:00Z,APXMIDP,2019-05-11,18,46.97,794.650
2019-05-11T07:30:00Z,N2EXMIDP,2019-05-11,18,0.00,0.000
2019-05-11T07:00:00Z,APXMIDP,2019-05-11,17,46.85,672.400
2019-05-11T07:00:00Z,N2EXMIDP,2019-05-11,17,0.00,0.000
2019-05-11T06:30:00Z,APXMIDP,2019-05-11,16,44.76,773.650
2019-05-11T06:30:00Z,N2EXMIDP,2019-05-11,16,0.00,0.000
2019-05-11T06:00:00Z,APXMIDP,2019-05-11,15,43.45,800.500
2019-05-11T06:00:00Z,N2EXMIDP,2019-05-11,15,0.00,0.000
2019-05-11T05:30:00Z,APXMIDP,2019-05-11,14,44.84,482.850
2019-05-11T05:30:00Z,N2EXMIDP,2019-05-11,14,0.00,0.000
2019-05-11T05:00:00Z,APXMIDP,2019-05-11,13,44.27,187.250
2019-05-11T05:00:00Z,N2EXMIDP,2019-05-11,13,0.00,0.000
2019-05-11T04:30:00Z,APXMIDP,2019-05-11,12,41.59,225.150
2019-05-11T04:30:00Z,N2EXMIDP,2019-05-11,12,0.00,0.000
2019-05-11T04:00:00Z,APXMIDP,2019-05-11,11,43.24,168.500
2019-05-11T04:00:00Z,N2EXMIDP,2019-05-11,11,0.00,0.000
2019-05-11T03:30:00Z,APXMIDP,2019-05-11,10,48.73,211.500
2019-05-11T03:30:00Z,N2EXMIDP,2019-05-11,10,0.00,0.000
2019-05-11T03:00:00Z,APXMIDP,2019-05-11,9,49.21,254.250
2019-05-11T03:00:00Z,N2EXMIDP,2019-05-11,9,0.00,0.000
2019-05-11T02:30:00Z,APXMIDP,2019-05-11,8,49.95,243.350
2019-05-11T02:30:00Z,N2EXMIDP,2019-05-11,8,0.00,0.000
2019-05-11T02:00:00Z,APXMIDP,2019-05-11,7,50.59,228.400
2019-05-11T02:00:00Z,N2EXMIDP,2019-05-11,7,0.00,0.000
2019-05-11T01:30:00Z,APXMIDP,2019-05-11,6,43.84,280.850
2019-05-11T01:30:00Z,N2EXMIDP,2019-05-11,6,0.00,0.000
2019-05-11T01:00:00Z,APXMIDP,2019-05-11,5,44.40,312.850
2019-05-11T01:00:00Z,N2EXMIDP,2019-05-11,5,0.00,0.000
2019-05-11T00:30:00Z,APXMIDP,2019-05-11,4,44.99,237.700
2019-05-11T00:30:00Z,N2EXMIDP,2019-05-11,4,0.00,0.000
2019-05-11T00:00:00Z,APXMIDP,2019-05-11,3,43.52,286.450
2019-05-11T00:00:00Z,N2EXMIDP,2019-05-11,3,0.00,0.000
2019-05-10T23:30:00Z,APXMIDP,2019-05-11,2,44.23,288.750
2019-05-10T23:30:00Z,N2EXMIDP,2019-05-11,2,0.00,0.000
2019-05-10T23:00:00Z,APXMIDP,2019-05-11,1,46.85,179.900
2019-05-10T23:00:00Z,N2EXMIDP,2019-05-11,1,0.00,0.000
2019-05-10T22:30:00Z,APXMIDP,2019-05-10,48,49.64,444.550
2019-05-10T22:30:00Z,N2EXMIDP,2019-05-10,48,0.00,0.000
2019-05-10T22:00:00Z,APXMIDP,2019-05-10,47,46.06,727.700
2019-05-10T22:00:00Z,N2EXMIDP,2019-05-10,47,0.00,0.000
2019-05-10T21:30:00Z,APXMIDP,2019-05-10,46,45.91,1528.700
2019-05-10T21:30:00Z,N2EXMIDP,2019-05-10,46,0.00,0.000
2019-05-10T21:00:00Z,APXMIDP,2019-05-10,45,46.38,1745.450
2019-05-10T21:00:00Z,N2EXMIDP,2019-05-10,45,0.00,0.000
2019-05-10T20:30:00Z,APXMIDP,2019-05-10,44,47.51,1317.150
2019-05-10T20:30:00Z,N2EXMIDP,2019-05-10,44,0.00,0.000
2019-05-10T20:00:00Z,APXMIDP,2019-05-10,43,51.86,1380.000
2019-05-10T20:00:00Z,N2EXMIDP,2019-05-10,43,0.00,0.000
2019-05-10T19:30:00Z,APXMIDP,2019-05-10,42,50.93,1413.950
2019-05-10T19:30:00Z,N2EXMIDP,2019-05-10,42,0.00,0.000
