StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2019-12-21T23:30:00Z,APXMIDP,2019-12-21,48,38.98,993.150
2019-12-21T23:30:00Z,N2EXMIDP,2019-12-21,48,0.00,0.000
2019-12-21T23:00:00Z,APXMIDP,2019-12-21,47,39.22,836.800
2019-12-21T23:00:00Z,N2EXMIDP,2019-12-21,47,0.00,0.000
2019-12-21T22:30:00Z,APXMIDP,2019-12-21,46,30.91,982.800
2019-12-21T22:30:00Z,N2EXMIDP,2019-12-21,46,0.00,0.000
2019-12-21T22:00:00Z,APXMIDP,2019-12-21,45,30.61,1036.150
2019-12-21T22:00:00Z,N2EXMIDP,2019-12-21,45,0.00,0.000
2019-12-21T21:30:00Z,APXMIDP,2019-12-21,44,37.94,1124.650
2019-12-21T21:30:00Z,N2EXMIDP,2019-12-21,44,0.00,0.000
2019-12-21T21:00:00Z,APXMIDP,2019-12-21,43,37.60,1149.800
2019-12-21T21:00:00Z,N2EXMIDP,2019-12-21,43,0.00,0.000
2019-12-21T20:30:00Z,APXMIDP,2019-12-21,42,37.72,1061.150
2019-12-21T20:30:00Z,N2EXMIDP,2019-12-21,42,0.00,0.000
2019-12-21T20:00:00Z,APXMIDP,2019-12-21,41,41.27,1172.400
2019-12-21T20:00:00Z,N2EXMIDP,2019-12-21,41,0.00,0.000
2019-12-21T19:30:00Z,APXMIDP,2019-12-21,40,41.16,980.000
2019-12-21T19:30:00Z,N2EXMIDP,2019-12-21,40,0.00,0.000
2019-12-21T19:00:00Z,APXMIDP,2019-12-21,39,42.40,1174.900
2019-12-21T19:00:00Z,N2EXMIDP,2019-12-21,39,0.00,0.000
2019-12-21T18:30:00Z,APXMIDP,2019-12-21,38,49.79,1258.400
2019-12-21T18:30:00Z,N2EXMIDP,2019-12-21,38,0.00,0.000
2019-12-21T18:00:00Z,APXMIDP,2019-12-21,37,50.90,1207.900
2019-12-21T18:00:00Z,N2EXMIDP,2019-12-21,37,0.00,0.000
2019-12-21T17:30:00Z,APXMIDP,2019-12-21,36,52.22,1347.250
2019-12-21T17:30:00Z,N2EXMIDP,2019-12-21,36,0.00,0.000
2019-12-21T17:00:00Z,APXMIDP,2019-12-21,35,52.50,1225.450
2019-12-21T17:00:00Z,N2EXMIDP,2019-12-21,35,0.00,0.000
2019-12-21T16:30:00Z,APXMIDP,2019-12-21,34,50.57,1407.700
2019-12-21T16:30:00Z,N2EXMIDP,2019-12-21,34,0.00,0.000
2019-12-21T16:00:00Z,APXMIDP,2019-12-21,33,45.48,1179.150
2019-12-21T16:00:00Z,N2EXMIDP,2019-12-21,33,0.00,0.000
2019-12-21T15:30:00Z,APXMIDP,2019-12-21,32,50.25,1355.750
2019-12-21T15:30:00Z,N2EXMIDP,2019-12-21,32,0.00,0.000
2019-12-21T15:00:00Z,APXMIDP,2019-12-21,31,51.57,1168.650
2019-12-21T15:00:00Z,N2EXMIDP,2019-12-21,31,0.00,0.000
2019-12-21T14:30:00Z,APXMIDP,2019-12-21,30,43.56,1412.850
2019-12-21T14:30:00Z,N2EXMIDP,2019-12-21,30,0.00,0.000
2019-12-21T14:00:00Z,APXMIDP,2019-12-21,29,40.64,1085.400
2019-12-21T14:00:00Z,N2EXMIDP,2019-12-21,29,0.00,0.000
2019-12-21T13:30:00Z,APXMIDP,2019-12-21,28,40.65,1120.350
2019-12-21T13:30:00Z,N2EXMIDP,2019-12-21,28,0.00,0.000
2019-12-21T13:00:00Z,APXMIDP,2019-12-21,27,40.54,1237.850
2019-12-21T13:00:00Z,N2EXMIDP,2019-12-21,27,0.00,0.000
2019-12-21T12:30:00Z,APXMIDP,2019-12-21,26,38.72,1910.450
2019-12-21T12:30:00Z,N2EXMIDP,2019-12-21,26,0.00,0.000
2019-12-21T12:00:00Z,APXMIDP,2019-12-21,25,39.86,1600.850
2019-12-21T12:00:00Z,N2EXMIDP,2019-12-21,25,0.00,0.000
2019-12-21T11:30:00Z,APXMIDP,2019-12-21,24,38.30,1369.450
2019-12-21T11:30:00Z,N2EXMIDP,2019-12-21,24,0.00,0.000
2019-12-21T11:00:00Z,APXMIDP,2019-12-21,23,35.12,1197.500
2019-12-21T11:00:00Z,N2EXMIDP,2019-12-21,23,0.00,0.000
2019-12-21T10:30:00Z,APXMIDP,2019-12-21,22,28.71,1449.400
2019-12-21T10:30:00Z,N2EXMIDP,2019-12-21,22,0.00,0.000
2019-12-21T10:00:00Z,APXMIDP,2019-12-21,21,32.44,1075.700
2019-12-21T10:00:00Z,N2EXMIDP,2019-12-21,21,0.00,0.000
2019-12-21T09:30:00Z,APXMIDP,2019-12-21,20,29.08,933.800
2019-12-21T09:30:00Z,N2EXMIDP,2019-12-21,20,0.00,0.000
2019-12-21T09:00:00Z,APXMIDP,2019-12-21,19,36.00,967.500
2019-12-21T09:00:00Z,N2EXMIDP,2019-12-21,19,0.00,0.000
2019-12-21T08:30:00Z,APXMIDP,2019-12-21,18,37.44,954.050
2019-12-21T08:30:00Z,N2EXMIDP,2019-12-21,18,0.00,0.000
2019-12-21T08:00:00Z,APXMIDP,2019-12-21,17,35.38,962.500
2019-12-21T08:00:00Z,N2EXMIDP,2019-12-21,17,0.00,0.000
2019-12-21T07:30:00Z,APXMIDP,2019-12-21,16,36.47,868.700
2019-12-21T07:30:00Z,N2EXMIDP,2019-12-21,16,0.00,0.000
2019-12-21T07:00:00Z,APXMIDP,2019-12-21,15,32.33,1010.300
2019-12-21T07:00:00Z,N2EXMIDP,2019-12-21,15,0.00,0.000
2019-12-21T06:30:00Z,APXMIDP,2019-12-21,14,28.08,717.750
2019-12-21T06:30:00Z,N2EXMIDP,2019-12-21,14,0.00,0.000
2019-12-21T06:00:00Z,APXMIDP,2019-12-21,13,29.24,603.600
2019-12-21T06:00:00Z,N2EXMIDP,2019-12-21,13,0.00,0.000
2019-12-21T05:30:00Z,APXMIDP,2019-12-21,12,30.07,700.300
2019-12-21T05:30:00Z,N2EXMIDP,2019-12-21,12,0.00,0.000
2019-12-21T05:00:00Z,APXMIDP,2019-12-21,11,28.41,596.850
2019-12-21T05:00:00Z,N2EXMIDP,2019-12-21,11,0.00,0.000
2019-12-21T04:30:00Z,APXMIDP,2019-12-21,10,29.64,565.150
2019-12-21T04:30:00Z,N2EXMIDP,2019-12-21,10,0.00,0.000
2019-12-21T04:00:00Z,APXMIDP,2019-12-21,9,31.01,415.450
2019-12-21T04:00:00Z,N2EXMIDP,2019-12-21,9,0.00,0.000
2019-12-21T03:30:00Z,APXMIDP,2019-12-21,8,31.01,545.100
2019-12-21T03:30:00Z,N2EXMIDP,2019-12-21,8,0.00,0.000
2019-12-21T03:00:00Z,APXMIDP,2019-12-21,7,33.37,593.650
2019-12-21T03:00:00Z,N2EXMIDP,2019-12-21,7,0.00,0.000
2019-12-21T02:30:00Z,APXMIDP,2019-12-21,6,37.53,924.000
2019-12-21T02:30:00Z,N2EXMIDP,2019-12-21,6,0.00,0.000
2019-12-21T02:00:00Z,APXMIDP,2019-12-21,5,39.32,1034.400
2019-12-21T02:00:00Z,N2EXMIDP,2019-12-21,5,0.00,0.000
2019-12-21T01:30:00Z,APXMIDP,2019-12-21,4,39.94,866.300
2019-12-21T01:30:00Z,N2EXMIDP,2019-12-21,4,0.00,0.000
2019-12-21T01:00:00Z,APXMIDP,2019-12-21,3,38.18,1084.000
2019-12-21T01:00:00Z,N2EXMIDP,2019-12-21,3,0.00,0.000
2019-12-21T00:30:00Z,APXMIDP,2019-12-21,2,39.28,823.500
2019-12-21T00:30:00Z,N2EXMIDP,2019-12-21,2,0.00,0.000
2019-12-21T00:00:00Z,APXMIDP,2019-12-21,1,39.35,672.950
2019-12-21T00:00:00Z,N2EXMIDP,2019-12-21,1,0.00,0.000
2019-12-20T23:30:00Z,APXMIDP,2019-12-20,48,41.77,701.950
2019-12-20T23:30:00Z,N2EXMIDP,2019-12-20,48,0.00,0.000
2019-12-20T23:00:00Z,APXMIDP,2019-12-20,47,41.20,636.900
2019-12-20T23:00:00Z,N2EXMIDP,2019-12-20,47,0.00,0.000
2019-12-20T22:30:00Z,APXMIDP,2019-12-20,46,38.72,1042.600
2019-12-20T22:30:00Z,N2EXMIDP,2019-12-20,46,0.00,0.000
2019-12-20T22:00:00Z,APXMIDP,2019-12-20,45,42.12,965.050
2019-12-20T22:00:00Z,N2EXMIDP,2019-12-20,45,0.00,0.000
2019-12-20T21:30:00Z,APXMIDP,2019-12-20,44,44.10,1004.550
2019-12-20T21:30:00Z,N2EXMIDP,2019-12-20,44,0.00,0.000
2019-12-20T21:00:00Z,APXMIDP,2019-12-20,43,41.91,1060.200
2019-12-20T21:00:00Z,N2EXMIDP,2019-12-20,43,0.00,0.000
2019-12-20T20:30:00Z,APXMIDP,2019-12-20,42,46.34,758.600
2019-12-20T20:30:00Z,N2EXMIDP,2019-12-20,42,0.00,0.000
2019-12-20T20:00:00Z,APXMIDP,2019-12-20,41,46.61,730.150
2019-12-20T20:00:00Z,N2EXMIDP,2019-12-20,41,0.00,0.000
2019-12-20T19:30:00Z,APXMIDP,2019-12-20,40,44.28,797.700
2019-12-20T19:30:00Z,N2EXMIDP,2019-12-20,40,0.00,0.000
2019-12-20T19:00:00Z,APXMIDP,2019-12-20,39,45.93,885.300
2019-12-20T19:00:00Z,N2EXMIDP,2019-12-20,39,0.00,0.000
2019-12-20T18:30:00Z,APXMIDP,2019-12-20,38,43.27,1029.850
2019-12-20T18:30:00Z,N2EXMIDP,2019-12-20,38,0.00,0.000
2019-12-20T18:00:00Z,APXMIDP,2019-12-20,37,48.76,1121.900
2019-12-20T18:00:00Z,N2EXMIDP,2019-12-20,37,0.00,0.000
2019-12-20T17:30:00Z,APXMIDP,2019-12-20,36,44.16,1081.950
2019-12-20T17:30:00Z,N2EXMIDP,2019-12-20,36,0.00,0.000
2019-12-20T17:00:00Z,APXMIDP,2019-12-20,35,46.74,1164.950
2019-12-20T17:00:00Z,N2EXMIDP,2019-12-20,35,0.00,0.000
2019-12-20T16:30:00Z,APXMIDP,2019-12-20,34,47.89,1403.000
2019-12-20T16:30:00Z,N2EXMIDP,2019-12-20,34,0.00,0.000
2019-12-20T16:00:00Z,APXMIDP,2019-12-20,33,44.79,1515.650
2019-12-20T16:00:00Z,N2EXMIDP,2019-12-20,33,0.00,0.000
2019-12-20T15:30:00Z,APXMIDP,2019-12-20,32,46.71,1089.550
2019-12-20T15:30:00Z,N2EXMIDP,2019-12-20,32,0.00,0.000
2019-12-20T15:00:00Z,APXMIDP,2019-12-20,31,42.45,1221.750
2019-12-20T15:00:00Z,N2EXMIDP,2019-12-20,31,0.00,0.000
2019-12-20T14:30:00Z,APXMIDP,2019-12-20,30,41.98,1251.150
2019-12-20T14:30:00Z,N2EXMIDP,2019-12-20,30,0.00,0.000
2019-12-20T14:00:00Z,APXMIDP,2019-12-20,29,41.26,1254.150
2019-12-20T14:00:00Z,N2EXMIDP,2019-12-20,29,0.00,0.000
2019-12-20T13:30:00Z,APXMIDP,2019-12-20,28,40.26,1104.700
2019-12-20T13:00:00Z,APXMIDP,2019-12-20,27,41.53,1256.400
2019-12-20T13:00:00Z,N2EXMIDP,2019-12-20,27,0.00,0.000
2019-12-20T12:30:00Z,APXMIDP,2019-12-20,26,41.78,914.900
2019-12-20T12:30:00Z,N2EXMIDP,2019-12-20,26,0.00,0.000
2019-12-20T12:00:00Z,APXMIDP,2019-12-20,25,46.31,1169.200
2019-12-20T12:00:00Z,N2EXMIDP,2019-12-20,25,0.00,0.000
2019-12-20T11:30:00Z,APXMIDP,2019-12-20,24,49.66,1312.500
2019-12-20T11:30:00Z,N2EXMIDP,2019-12-20,24,0.00,0.000
2019-12-20T11:00:00Z,APXMIDP,2019-12-20,23,52.02,1235.650
2019-12-20T11:00:00Z,N2EXMIDP,2019-12-20,23,0.00,0.000
2019-12-20T10:30:00Z,APXMIDP,2019-12-20,22,47.21,1296.050
2019-12-20T10:30:00Z,N2EXMIDP,2019-12-20,22,0.00,0.000
2019-12-20T10:00:00Z,APXMIDP,2019-12-20,21,42.77,1144.500
2019-12-20T10:00:00Z,N2EXMIDP,2019-12-20,21,0.00,0.000
2019-12-20T09:30:00Z,APXMIDP,2019-12-20,20,42.54,926.450
2019-12-20T09:30:00Z,N2EXMIDP,2019-12-20,20,0.00,0.000
2019-12-20T09:00:00Z,APXMIDP,2019-12-20,19,36.64,911.250
2019-12-20T09:00:00Z,N2EXMIDP,2019-12-20,19,0.00,0.000
2019-12-20T08:30:00Z,APXMIDP,2019-12-20,18,31.56,1094.950
2019-12-20T08:30:00Z,N2EXMIDP,2019-12-20,18,0.00,0.000
2019-12-20T08:00:00Z,APXMIDP,2019-12-20,17,30.80,1142.150
2019-12-20T08:00:00Z,N2EXMIDP,2019-12-20,17,0.00,0.000
2019-12-20T07:30:00Z,APXMIDP,2019-12-20,16,31.54,958.450
2019-12-20T07:30:00Z,N2EXMIDP,2019-12-20,16,0.00,0.000
2019-12-20T07:00:00Z,APXMIDP,2019-12-20,15,31.95,1395.700
2019-12-20T07:00:00Z,N2EXMIDP,2019-12-20,15,0.00,0.000
2019-12-20T06:30:00Z,APXMIDP,2019-12-20,14,31.56,1541.100
2019-12-20T06:30:00Z,N2EXMIDP,2019-12-20,14,0.00,0.000
2019-12-20T06:00:00Z,APXMIDP,2019-12-20,13,35.95,1390.750
2019-12-20T06:00:00Z,N2EXMIDP,2019-12-20,13,0.00,0.000
2019-12-20T05:30:00Z,APXMIDP,2019-12-20,12,25.61,1006.400
2019-12-20T05:30:00Z,N2EXMIDP,2019-12-20,12,0.00,0.000
2019-12-20T05:00:00Z,APXMIDP,2019-12-20,11,22.38,1322.000
2019-12-20T05:00:00Z,N2EXMIDP,2019-12-20,11,0.00,0.000
2019-12-20T04:30:00Z,APXMIDP,2019-12-20,10,16.25,1136.050
2019-12-20T04:30:00Z,N2EXMIDP,2019-12-20,10,0.00,0.000
2019-12-20T04:00:00Z,APXMIDP,2019-12-20,9,15.90,1003.800
2019-12-20T04:00:00Z,N2EXMIDP,2019-12-20,9,0.00,0.000
2019-12-20T03:30:00Z,APXMIDP,2019-12-20,8,14.84,955.650
2019-12-20T03:30:00Z,N2EXMIDP,2019-12-20,8,0.00,0.000
2019-12-20T03:00:00Z,APXMIDP,2019-12-20,7,16.60,927.850
2019-12-20T03:00:00Z,N2EXMIDP,2019-12-20,7,0.00,0.000
2019-12-20T02:30:00Z,APXMIDP,2019-12-20,6,14.22,1190.550
2019-12-20T02:30:00Z,N2EXMIDP,2019-12-20,6,0.00,0.000
2019-12-20T02:00:00Z,APXMIDP,2019-12-20,5,14.04,934.500
2019-12-20T02:00:00Z,N2EXMIDP,2019-12-20,5,0.00,0.000
2019-12-20T01:30:00Z,APXMIDP,2019-12-20,4,17.68,1164.650
2019-12-20T01:30:00Z,N2EXMIDP,2019-12-20,4,0.00,0.000
